analysis_id,comparison,target,n_coordinates,mean_difference,median_difference,bootstrap_ci025,bootstrap_ci975,n_positive,n_negative,n_zero,signflip_two_sided_p,holm_two_target_p,bootstrap_replicates,signflip_replicates,seed
zscreen_matched_partner_20260915_v1,primary_47_pairs,HSPA5,47,0.003787234042553192,0.006,-0.005361702127659574,0.012851063829787233,26,21,0,0.42907570924290755,0.42907570924290755,20000,100000,20260915
zscreen_matched_partner_20260915_v1,primary_47_pairs,TRAF2,47,-0.012553191489361702,-0.009999999999999998,-0.02076595744680852,-0.004638297872340425,18,29,0,0.003949960500394996,0.007899921000789992,20000,100000,20260915
zscreen_matched_partner_20260915_v1,quartet_37_interaction,HSPA5,37,0.00389189189189189,0.001999999999999995,-0.007027027027027029,0.01491891891891892,19,16,2,0.5006549934500655,0.5006549934500655,20000,100000,20260916
zscreen_matched_partner_20260915_v1,quartet_37_interaction,TRAF2,37,-0.026324324324324327,-0.021999999999999995,-0.03913513513513514,-0.013729729729729733,12,25,0,0.0002899971000289997,0.0005799942000579994,20000,100000,20260916
zscreen_matched_partner_20260915_v1,same_stratum_18_pairs,HSPA5,18,-0.0017777777777777779,-0.003,-0.014222222222222223,0.011777777777777778,9,9,0,0.8080019199808002,1.0,20000,100000,20260917
zscreen_matched_partner_20260915_v1,same_stratum_18_pairs,TRAF2,18,0.0018888888888888913,0.003999999999999999,-0.01011111111111111,0.012666666666666666,10,6,2,0.7675623243767562,1.0,20000,100000,20260917
