part,S_HSPA5_P2_minus_P1,S_TRAF2_P2_minus_P1,S2_HSPA5_P2_minus_P1,S2_TRAF2_P2_minus_P1,HSPA5_score_interaction_S_minus_S2,TRAF2_score_interaction_S_minus_S2
full,-0.0600000023841858,0.032000001519918504,0.0499999970197677,0.006000000983476701,-0.1099999994039535,0.026000000536441803
h1,-0.013999998569488595,0.004000000655651106,0.034000001847744,-0.019999999552965206,-0.0480000004172326,0.024000000208616312
h2,-0.041999999433755895,0.017999999225139604,0.005999997258186306,0.008000001311302206,-0.0479999966919422,0.009999997913837398
