context,position,bb_id,n_carriers,in_sar_window,coherence,coherence_z,coherence_p,sparse_coherence,sparse_coherence_z,sibling_max_cos,sibling_max_sparse_j,sparse_falloff,effect_strength_l2,top20_gene_energy_fraction,delta_frac_deep_depth_tier,driver_genes_up,driver_genes_down,is_positive_control,sparse_composite_score,coherence_p_permutation,sparse_rank,within_candidate_chemical_coherence,ring1_phenotype_correlation,ring3_phenotype_correlation,falloff,falloff_null_percentile
zel039_aec7,bb2,BB_9498562905,401,0,0.1003764197230339,8.515084695207515,0.0099009900990099,0.0553745943998713,37.08264020059764,0.9005977511405945,0.1785714285714285,0.8214285714285714,2.9149041175842285,0.0930794551968574,-0.0595002667740872,"RPS14,TMSB10,RPS19,RPL10,RPL35A,EBPL,CDC42SE1,NUDCD2,COA5,RNF130,RAC2,CEBPZOS,S100A6,SMIM29,TOMM7","CANX,APP,UBC,ANXA1,MALAT1,PDIA3,HSPA5,EEF2,HSP90AA1,TPM3,SQSTM1,PRNP,CALR,HSP90AB1,PDIA6",False,30.46074016477663,0.01,42,0.942355453968048,-0.1408540308475494,0.2759251296520233,0.2236808389425277,0.0
zel039_aec7,bb2,BB_5443844769,404,0,0.0478797107934951,2.25207007994992,0.0100990099009901,0.0321141604772677,33.89700863397528,0.2420604825019836,0.106145251396648,0.8938547486033519,1.2997853755950928,0.2023458182811737,0.0497192586697289,"APP,PTMA,C11orf58,NCL,ANP32B,NPM1,CALR,EEF1D,HNRNPDL,THBS1,SERPINE1,CCDC50,MT1E,HNRNPC,SNU13","C16orf95,SLC39A14,CD59,AC244102.4,LINC00486,ATOX1,RPL5,RPL39,ITGB1,UQCRB,TPT1,HSPE1,RPS27A,BST2,MMP1",False,30.299002130927622,0.0108910891089108,43,0.934721291065216,-0.03360216319561,0.016424698755145,0.0843479335308075,0.0
zel039_aec7,bb2,BB_6114924718,374,0,0.1153175681829452,8.77020147472148,0.0099009900990099,0.059629586588325,37.12666377441814,0.9328902959823608,0.2121212121212121,0.7878787878787878,4.075586318969727,0.0740003213286399,-0.0571531932813484,"RPL41,TMSB4X,ZNF271P,TMSB10,PSMG4,ATP5F1E,RPLP1,RPS14,TOMM22,BABAM1,CD320,RPS6,MAPKAPK5-AS1,RPS11,BUD23","HSP90B1,APLP2,LINC00486,CANX,EEF2,ANXA1,TXNRD1,PGD,PDIA6,CALR,PTMA,HSP90AB1,PPIB,PSAP,HSPA5",False,29.251310852571866,0.0099009900990099,44,0.9363178014755248,-0.3728793263435364,0.0050014080479741,0.478468470275402,0.0
zel039_aec7,bb1,BB_0164651813,474,0,0.7483870387077332,62.34131745386249,0.0099009900990099,0.0624429386833001,39.665772959069706,0.9810419678688048,0.2987012987012987,0.7012987012987013,6.671514987945557,0.0653479322791099,0.4440878094488574,"SLC39A14,C16orf95,LINC00486,MT-RNR2,MALAT1,RPL9,NAP1L1,RPS7,APLP2,AC244102.4,HSP90AB1,ITGB1,YWHAB,PRNP,MCAM","TMSB10,FTH1,RPS29,MAP1LC3A,MSMP,FTL,RPLP2,RPLP1,NRBF2,AL450405.1,RPS19,SYS1,RPS21,EMC9,TLCD5",False,27.81755506220473,0.0099009900990099,45,0.945058524608612,0.7632430791854858,0.5624474287033081,-0.0314018726348876,0.0
zel039_aec7,bb1,BB_7908408907,452,0,0.9165704250335692,82.10008017144376,0.0099009900990099,0.0818761117438859,37.22222150709612,0.9849119186401368,0.2578616352201258,0.7421383647798743,9.605870246887209,0.052064474672079,-0.3468460615791101,"FTL,RPS14,TMSB10,RPL27,RPLP2,RPS18,BCYRN1,SLC26A3,TMSB4X,LRRC75A,TPT1,RPL27A,TAF11,GNPAT,FTLP3","SLC39A14,LINC00486,C16orf95,HSPA5,MT-RNR2,MANF,COX6C,GNG11,RPL4,EEF2,MGST3,HSP90B1,OSTC,TM4SF1,PPIB",False,27.624038602750577,0.0099009900990099,46,0.9410743117332458,0.6649300456047058,0.2588816881179809,0.253705084323883,0.0
zel039_aec7,bb2,BB_4053585744,390,0,0.0694546326994896,4.396358588894308,0.0099009900990099,0.0491687684992905,34.40633134437799,0.8527865409851074,0.2048192771084337,0.7951807228915663,2.402235984802246,0.1248263418674469,-0.0102451993145309,"RPS20,TMSB10,RPS29,RPL35A,CRYAB,FAU,MRPS21,RPF1,ATP5F1E,MICOS10,H2AZ1,ATP5MK,MCTS1,ID3,DECR1","HSP90B1,SLC39A14,EEF2,CANX,HSPA5,APLP2,SWAP70,APP,MT-RNR2,HLA-E,PGD,LINC00486,ANXA2,RPL3,PPIB",False,27.359251430469243,0.0100990099009901,47,0.9480268955230712,0.0137635972350835,0.0748549848794937,0.0591527540236711,0.0
zel039_aec7,bb2,BB_0167791271,411,0,0.1487791538238525,12.799496968646691,0.0099009900990099,0.1008386186655946,36.17346276416051,0.5796487331390381,0.24375,0.75625,2.7078568935394287,0.2057812660932541,0.038023563552772,"APP,CALR,CANX,APLP2,HSPA8,PPP1R15A,CLIC1,MALAT1,ITGB1,UBC,FN1,HSP90B1,TPM3,PDIA3,CLNS1A","TMEM258,C16orf95,RPL34,RPL23,RPS15A,RPL39,ZFAS1,RPS28,RPL38,COX6C,RPL31,ATP5MK,ATP5MJ,TMA7,SNHG5",False,27.356181215396383,0.0099009900990099,48,0.9375810623168944,0.0159641318023204,-0.0130307981744408,0.1297692842781543,0.0
zel039_aec7,bb2,BB_1911924834,415,0,0.0380221232771873,1.2506700048056594,0.0109900990099009,0.048245400118904,30.55520567996356,0.1349066495895385,0.106145251396648,0.8938547486033519,1.1858285665512085,0.1442721784114837,0.0631869909851292,"AC244102.4,LINC00486,FP236383.3,SLC39A14,CKS2,RPL30,C16orf95,UBC,RPL37,SARS1,RPL15,C1orf43,RPL5,BEST1,PCAT1","HSP90B1,IGFBP1,TM4SF1,APP,SLC3A2,MALAT1,LDHB,HLA-E,PABPC1,ANXA1,RAB32,PTMA,TRIR,HDLBP,RAN",False,27.311915691587537,0.0119801980198019,49,0.9346168041229248,-0.2183331847190857,-0.1399325877428054,0.2640959918498993,0.0
zel039_aec7,bb2,BB_6014564733,418,0,0.0651950091123581,3.6883939543928217,0.0099009900990099,0.0310132609772114,32.30973848315041,0.3972167372703552,0.1588235294117647,0.8411764705882353,1.2491357326507568,0.2169196009635925,0.0315042792770528,"SRP14,S100A16,NAA38,MGST3,EIF4EBP1,RPS11,HLA-C,OCIAD2,PKIG,RPL28,BTF3,VAMP5,MT-RNR2,RPL36,RPL29","C16orf95,SLC39A14,APP,AC244102.4,PDIA6,LINC00486,HSP90B1,ITGB1,HSPA5,CANX,FP236383.3,EEF2,CALR,TXNRD1,PDIA3",False,27.178191782885342,0.0100990099009901,50,0.9528374075889589,0.0383748710155487,0.0150351505726575,0.0141670778393745,0.0
zel039_aec7,bb2,BB_4329380884,412,0,0.0451410636305809,2.1707661956376083,0.0102970297029702,0.0391232009665813,30.34640722448688,0.3940333724021911,0.1079545454545454,0.8920454545454546,1.200511813163757,0.1310561001300811,0.044360227620993,"TUBA1B,RPL19,SIVA1,RBMX,NQO1,OST4,GLRX,PDLIM3,TUBA1C,OSER1,NSA2,YIF1A,SERF2,HMGB2,ATP6V0E1","IGFBP1,SLC39A14,EEF2,PTMA,LINC00486,PCAT1,C16orf95,SERPINE1,RPS3A,ATP5MC2,AC244102.4,NDUFA1,SNHG6,GAS5,RPLP0",False,27.070374626388865,0.011089108910891,51,,,,,
zel039_aec7,bb2,BB_8496905824,402,0,0.0423777289688587,1.8162318852658703,0.0103960396039603,0.0521519203701033,30.501584340453075,0.8020461201667786,0.1299435028248587,0.8700564971751412,2.1488070487976074,0.1128647997975349,-0.0104748204396745,"HSPA1B,HSPB1,CACYBP,CRYAB,HSPE1,DUT,DNAJB1,PDLIM4,HSPA1A,JAGN1,GSTK1,RPL13,HSPH1,MALSU1,COMMD7","ITGB1,APP,CANX,TPT1,UBXN1,LINC00486,SLC39A14,PSMA7,HLA-E,HSP90B1,PGD,SRP14,PDIA3,IGFBP1,RPL23",False,26.53810162954674,0.0113861386138613,52,,,,,
zel039_aec7,bb2,BB_2999304335,411,0,0.0707814022898674,4.339836247894271,0.0099009900990099,0.0473277930800013,29.123766118118933,0.6069507598876953,0.1206896551724138,0.8793103448275862,1.616676688194275,0.1276530623435974,-0.0155044169825078,"RPL36,SH3GLB1,UBXN1,ENO1,ARF1,TMED2,HSPH1,EIF1B,RPS2P5,TNFRSF12A,SERF2,CALCOCO2,HNRNPH1,ID3,COA4","GNAS,SLC39A14,RPL23,HSP90B1,C16orf95,ARPC2,IGFBP1,SEM1,RAN,EMP1,RPLP0,DBI,SQSTM1,TRIB3,H2AZ1",False,25.60882882800113,0.0100990099009901,53,,,,,
zel039_aec7,bb1,BB_5540590266,466,0,0.6163385510444641,53.232473750456606,0.0099009900990099,0.1426245511711113,33.246239143089355,0.8579650521278381,0.2738853503184713,0.7261146496815287,4.689023494720459,0.0878674238920211,-0.2375369347607729,"HSP90AA1,HSPA1A,HSPH1,UBB,DNAJB1,ZFAND2A,HSPB1,HSPA6,HSPA1B,HSPE1,DNAJA1,CRYAB,UBC,HSPD1,SAT1","MALAT1,CANX,EEF2,MCAM,EMP1,KLF6,APP,NQO1,CD9,PDIA6,YWHAB,PGD,C16orf95,APLP2,PDIA3",False,24.14058128861265,0.0099009900990099,54,,,,,
zel039_aec7,bb1,BB_2927121314,467,0,0.516291081905365,48.51561560532912,0.0099009900990099,0.066189800092246,31.66607471453924,0.9371302723884584,0.2658227848101265,0.7341772151898734,4.080473899841309,0.1051128506660461,-0.2570524249226131,"VIM,FTH1,UBC,MT2A,RPL32,FTL,GAPDH,LGALS1,RPL35A,RPL8,RPS23,STK24,S100A6,RPL3,RAE1","C16orf95,SLC39A14,AC244102.4,LINC00486,MALAT1,MANF,PFDN4,COMMD6,TBCA,DPM1,GAS5,SNHG6,RPL26,APP,HINT1",False,23.248510549914887,0.0099009900990099,55,,,,,
