context,bb_pair_id,n_members,within_phenotype_coherence,within_candidate_chemical_coherence,ring1_phenotype_correlation,ring2_phenotype_correlation,ring3_phenotype_correlation,falloff,null_falloff_mean,null_falloff_sd,falloff_null_percentile
zel024_hek293,bb1=BB_4347926671 & bb3=BB_7942064205,24,0.6541917324066162,0.9464017152786256,0.3112553656101227,0.2537067532539367,0.203082650899887,0.3429363667964935,-0.1413564741921436,0.1829636789141846,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_6545568677,24,0.4481567740440368,0.9588361978530884,0.2122109830379486,0.1199895069003105,0.0212016105651855,0.2359457910060882,-0.1798000789573416,0.1972498693387035,0.99
zel024_hek293,bb1=BB_4347926671 & bb3=BB_4417860298,24,0.6461036801338196,0.95489501953125,0.4237023890018463,0.2818113267421722,0.2201014757156372,0.2224012911319732,-0.1170710001699626,0.2077572212534812,0.95
zel024_hek293,bb1=BB_4347926671 & bb3=BB_4313530054,24,0.5998504161834717,0.9315147995948792,0.317250907421112,0.2531071603298187,0.2409871369600296,0.2825995087623596,-0.1139408221049234,0.2012279729955335,0.95
zel024_hek293,bb1=BB_4347926671 & bb3=BB_5345232705,24,0.5183807611465454,0.9456709623336792,0.3157215714454651,0.2670255899429321,0.2532509863376617,0.2026591897010803,-0.1539929569380728,0.2019666096784193,0.96
zel024_hek293,bb1=BB_4347926671 & bb3=BB_8357462340,24,0.5908212661743164,0.9427348971366882,0.1262407451868057,0.0807451456785202,0.1295484900474548,0.4645805209875107,-0.1494880859673139,0.1707985484297668,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_7426840745,24,0.4417078495025635,0.93765127658844,0.2897397875785827,0.253121942281723,0.2276423424482345,0.1519680619239807,-0.1626776548451744,0.1942693496248048,0.94
zel024_hek293,bb1=BB_8873714086 & bb3=BB_8391505475,24,0.6225361824035645,0.9826483130455016,0.4752975106239319,0.3950710296630859,0.3711313903331756,0.1472386717796325,-0.1502191659144591,0.2248961919955932,0.93
zel024_hek293,bb1=BB_4347926671 & bb3=BB_6235533440,24,0.5992632508277893,0.953963577747345,0.2388335615396499,0.3739854097366333,0.3148652017116546,0.3604296892881393,-0.1289794608880765,0.1775229765417889,0.99
zel024_hek293,bb1=BB_6601289516 & bb3=BB_8357462340,24,0.5172538161277771,0.9775500297546388,0.2162265181541443,0.2286358773708343,0.2306576073169708,0.3010272979736328,-0.1433333031559595,0.1873622816177278,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_7082156996,24,0.6348949670791626,0.956390142440796,0.1960127204656601,0.2957540452480316,0.2816933095455169,0.4388822466135025,-0.1656283145787893,0.1896930140295435,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_8090408280,24,0.6481450200080872,0.9603490233421326,0.4703852832317352,0.3156946301460266,0.2440572679042816,0.1777597367763519,-0.1641023669312198,0.1922914697291324,0.98
zel024_hek293,bb1=BB_8232087379 & bb3=BB_0972548426,24,0.4804719090461731,0.9797697067260742,0.274093747138977,-0.0099176689982414,-0.0435179993510246,0.206378161907196,-0.1177655817985942,0.1931603072642808,0.96
zel024_hek293,bb1=BB_4347926671 & bb3=BB_1235396373,24,0.5005797147750854,0.9581195116043092,0.059155311435461,0.1368601471185684,0.1748755425214767,0.4414244033396244,-0.125959326243028,0.2050448814518856,0.98
zel024_hek293,bb1=BB_4347926671 & bb3=BB_0178192231,24,0.568070650100708,0.9586535692214966,0.3121306300163269,0.2992163300514221,0.2621580958366394,0.2559400200843811,-0.1517828919575549,0.1893246863204443,0.99
zel024_hek293,bb1=BB_8873714086 & bb3=BB_0972548426,24,0.5723036527633667,0.981074035167694,0.4922888576984405,0.4523273408412933,0.4444416165351867,0.0800147950649261,-0.1285410674585728,0.1901900274963798,0.88
zel024_hek293,bb1=BB_6601289516 & bb3=BB_1579169438,24,0.4786942601203918,0.9789410829544068,0.1235288977622985,0.202109158039093,0.1844808012247085,0.3551653623580932,-0.178112924589077,0.198237382976444,0.99
zel024_hek293,bb1=BB_8232087379 & bb3=BB_9434530945,24,0.6468806862831116,0.9750338792800904,0.2609884142875671,0.0343151800334453,-0.0809176117181778,0.3858922719955444,-0.1370773249834747,0.2081661742901324,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_6048600856,24,0.6776275634765625,0.9400912523269652,0.2628793716430664,0.2962825298309326,0.2684866189956665,0.4147481918334961,-0.1796235165474354,0.2103772866180228,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_7600457365,24,0.7656081914901733,0.9611698985099792,0.1247927546501159,0.167230948805809,0.0766533091664314,0.6408154368400574,-0.1646846636058762,0.2168069106350391,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_7553096473,24,0.650215208530426,0.9667276740074158,0.103791669011116,-0.0173321776092052,0.0619149915874004,0.54642353951931,-0.144909129582229,0.1851195569287659,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_2122574568,24,0.5309876203536987,0.9249139428138732,0.2029515653848648,0.2016150653362274,0.0731351822614669,0.3280360549688339,-0.1064569896500324,0.1945120390502034,0.97
