context,evidence_level,bb_pair_id,position_a,bb_id_a,position_b,bb_id_b,n_members,effect_strength_l2,top20_gene_energy_fraction,participation_ratio,coherence,sibling_max_cos,sibling_mean_cos,n_siblings,null_coherence_mean,null_coherence_sd,coherence_z_vs_null,coherence_p_empirical,coherence_q_fdr_bh,effect_strength_z_vs_null,effect_strength_p_empirical,coherence_p_permutation,mean_shrinkage_weight,mean_n_wells,composite_score,composite_rank,is_positive_control,driver_genes_up,driver_genes_down,frac_deep_depth_tier,library_base_frac_deep_depth_tier,delta_frac_deep_depth_tier,frac_mid_depth_tier,library_base_frac_mid_depth_tier,delta_frac_mid_depth_tier,frac_shallow_depth_tier,library_base_frac_shallow_depth_tier,delta_frac_shallow_depth_tier
zel039_aec7,measured,bb0=BB_3825147739 & bb2=BB_3523796487,bb0,BB_3825147739,bb2,BB_3523796487,33,5.2377725,0.08739232,1764.6505,0.1402321295304731,0.9774694442749025,0.8133947849273682,60,0.1442143947498358,0.192796085103902,-0.0206553220062353,0.3383084577114428,0.4208853805716604,0.8681824270099325,0.1990049751243781,0.0801135060765879,0.0247449036687612,2.303030303030303,-0.0004653758834813,636,False,"AC244102.4(+0.1070),MT1X(+0.0870),PCAT1(+0.0689),MT1G(+0.0641),AC004540.1(+0.0597),AL034405.1(+0.0468),MT1E(+0.0464),BGN(+0.0320),AC009242.1(+0.0320),HSPA1B(+0.0319),PRRC2C(+0.0312),SNX5(+0.0272),SCAF11(+0.0245),HSPH1(+0.0243),RPS19(+0.0238)","NACA(-0.4076),HSPA8(-0.3910),TM4SF1(-0.3885),RPL7A(-0.3848),RPS7(-0.3804),RPL5(-0.3653),RPL4(-0.3571),TXN(-0.3549),CD59(-0.3473),PGD(-0.3418),NQO1(-0.3344),APP(-0.3278),CANX(-0.3267),MANF(-0.3231),HINT1(-0.3214)",0.303030303030303,0.351270840340172,-0.0482405373098689,0.0909090909090909,0.2535434584154134,-0.1626343675063225,0.6060606060606061,0.3951857012444145,0.2108749048161915
zel039_aec7,measured,bb0=BB_6699958170 & bb2=BB_6014564733,bb0,BB_6699958170,bb2,BB_6014564733,46,2.551815,0.17826456,1439.4518,0.1434276488668101,0.8808073401451111,0.3764482736587524,60,0.1442143947498358,0.192796085103902,-0.0040807150342381,0.3333333333333333,0.4208853805716604,-0.3113152387187455,0.5572139303482587,0.0771898647099289,0.0883478820323944,7.0,-0.0004863912790406,637,False,"IGFBP1(+0.3554),CD9(+0.2258),SRP14(+0.2024),TM4SF1(+0.2017),S100A16(+0.1998),NQO1(+0.1893),S100A10(+0.1871),MGST3(+0.1853),PPIA(+0.1797),GSTO1(+0.1743),IFI27(+0.1704),TMEM50B(+0.1658),RPS27L(+0.1634),RPL5(+0.1567),SEM1(+0.1557)","HSP90AA1(-0.3472),DNAJB1(-0.2994),HSPH1(-0.2911),HSPD1(-0.2566),HSP90AB1(-0.2533),UBC(-0.2477),HSPA1A(-0.2467),DNAJA1(-0.2404),SLC39A14(-0.1996),HSPA1B(-0.1986),C16orf95(-0.1946),HSPA8(-0.1866),AC244102.4(-0.1765),APP(-0.1754),MALAT1(-0.1713)",0.3695652173913043,0.351270840340172,0.0182943770511322,0.3478260869565217,0.2535434584154134,0.0942826285411083,0.2826086956521739,0.3951857012444145,-0.1125770055922406
zel039_aec7,measured,bb0=BB_0302650651 & bb2=BB_7709010551,bb0,BB_0302650651,bb2,BB_7709010551,46,2.6485257,0.27797064,1259.615,0.1435671893870773,0.8037675023078918,0.6174442172050476,60,0.1442143947498358,0.192796085103902,-0.0033569424524867,0.3333333333333333,0.4208853805716604,-0.2688462024563393,0.527363184079602,0.0771612015592754,0.0595260374248027,4.543478260869565,-0.0006587412020601,638,False,"GNG11(+0.2225),PECAM1(+0.2002),S100A16(+0.1667),NQO1(+0.1602),CLEC14A(+0.1514),TMSB4X(+0.1484),TM4SF1(+0.1471),MT-CYB(+0.1404),B2M(+0.1340),CD9(+0.1328),CD59(+0.1241),DBI(+0.1238),ITM2B(+0.1211),CAV1(+0.1185),APP(+0.1178)","HSP90AA1(-0.4281),UBC(-0.4104),UBB(-0.3870),HSPA5(-0.3653),HSPD1(-0.3610),DNAJB1(-0.3397),HSP90AB1(-0.3393),HMOX1(-0.3320),DNAJA1(-0.3225),HSPH1(-0.3127),HSPA8(-0.3120),SQSTM1(-0.3015),HSPA1A(-0.2800),ZFAND2A(-0.2471),CXCL8(-0.2449)",0.4130434782608695,0.351270840340172,0.0617726379206975,0.2391304347826087,0.2535434584154134,-0.0144130236328047,0.3478260869565217,0.3951857012444145,-0.0473596142878928
zel039_aec7,measured,bb0=BB_0995925376 & bb2=BB_3023095376,bb0,BB_0995925376,bb2,BB_3023095376,45,4.243081,0.09939061,1765.0819,0.1387269761827257,0.9733775854110718,0.7865245938301086,60,0.1442143947498358,0.192796085103902,-0.0284622925001451,0.3432835820895522,0.4208853805716604,0.431378724386049,0.2885572139303483,0.0812886952533822,0.0320561975240707,3.111111111111111,-0.0007577349510902,639,False,"RPS29(+0.0786),MT1X(+0.0598),DNAJB1(+0.0569),HSPG2(+0.0375),MT1G(+0.0350),RPLP2(+0.0345),HES1(+0.0335),BGN(+0.0273),LGALS1(+0.0272),CAPNS1(+0.0271),DUSP4(+0.0271),BCYRN1(+0.0271),NFKBIA(+0.0264),RPS21(+0.0263),ACTB(+0.0233)","MANF(-0.3512),LINC00486(-0.3419),TXNRD1(-0.3271),C16orf95(-0.3245),HSP90B1(-0.3205),SLC39A14(-0.3153),ITGB1(-0.3068),NAP1L1(-0.2988),CALR(-0.2972),DDIT3(-0.2942),PDIA6(-0.2935),RPL5(-0.2889),PRNP(-0.2871),PTX3(-0.2821),HSPA5(-0.2813)",0.2444444444444444,0.351270840340172,-0.1068263958957276,0.1777777777777777,0.2535434584154134,-0.0757656806376356,0.5777777777777777,0.3951857012444145,0.1825920765333631
zel039_aec7,measured,bb0=BB_8506073726 & bb2=BB_4949730103,bb0,BB_8506073726,bb2,BB_4949730103,42,2.660335,0.23323607,1339.6951,0.1419838651685903,0.931656301021576,0.6289688348770142,60,0.1442143947498358,0.192796085103902,-0.0115693717538063,0.3333333333333333,0.4208853805716604,-0.263660305060782,0.5124378109452736,0.0781644118321485,0.0534663759171962,4.404761904761905,-0.0007906936605116,640,False,"HSP90AA1(+0.4679),UBB(+0.3844),DNAJB1(+0.3648),HSPH1(+0.3328),HSPD1(+0.3014),UBC(+0.2942),HSPA1A(+0.2921),DNAJA1(+0.2895),HSPA1B(+0.2583),HSP90AB1(+0.2469),HSPB1(+0.2373),HSPA8(+0.2064),SLC3A2(+0.1880),FTL(+0.1808),GNAS(+0.1583)","SLC39A14(-0.3301),C16orf95(-0.2575),MANF(-0.2521),PDIA6(-0.2459),CD59(-0.2223),GAS5(-0.2014),RPS27L(-0.1998),PTX3(-0.1947),RPS27(-0.1895),OSTC(-0.1891),CD9(-0.1839),LGALS3(-0.1788),POLR2L(-0.1715),PDIA3(-0.1710),NOP10(-0.1632)",0.3571428571428571,0.351270840340172,0.0058720168026851,0.1904761904761904,0.2535434584154134,-0.0630672679392229,0.4523809523809524,0.3951857012444145,0.0571952511365378
zel039_aec7,measured,bb0=BB_0302650651 & bb2=BB_0318532484,bb0,BB_0302650651,bb2,BB_0318532484,45,2.8506272,0.21261753,1410.2924,0.1431257151594065,0.8594825267791748,0.6002879738807678,60,0.1442143947498358,0.192796085103902,-0.0056467930344257,0.3333333333333333,0.4208853805716604,-0.1800963927418304,0.4975124378109453,0.077419169915157,0.0702786892652511,5.111111111111111,-0.0007934730889984,641,False,"GNG11(+0.2135),CD9(+0.1939),CD59(+0.1516),GPX1(+0.1479),TMSB4X(+0.1426),POLR2L(+0.1274),H3-3A(+0.1229),UQCR11(+0.1175),S100A6(+0.1119),MT-CO3(+0.1099),MCAM(+0.1098),B2M(+0.1077),ECSCR(+0.1075),MT-CYB(+0.1055),S100A10(+0.1032)","HSP90AA1(-0.4004),HSPD1(-0.3927),HSPA5(-0.3730),SQSTM1(-0.3640),HSP90AB1(-0.3609),UBC(-0.3336),DNAJB1(-0.3199),HSPH1(-0.3111),HSPA8(-0.2857),UBB(-0.2849),EEF2(-0.2683),PPP1R15A(-0.2415),HSPA1A(-0.2405),LINC00486(-0.2341),HMOX1(-0.2309)",0.4444444444444444,0.351270840340172,0.0931736041042723,0.3555555555555555,0.2535434584154134,0.1020120971401421,0.2,0.3951857012444145,-0.1951857012444145
zel039_aec7,measured,bb0=BB_2315583918 & bb2=BB_8384776618,bb0,BB_2315583918,bb2,BB_8384776618,43,3.9144876,0.10749203,1782.9155,0.1399295168989652,0.9632535576820374,0.3248772919178009,60,0.1442143947498358,0.192796085103902,-0.0222249214685108,0.3383084577114428,0.4208853805716604,0.2870818517703175,0.3482587064676617,0.080285484980509,0.0534866526722908,5.116279069767442,-0.0008166867947638,642,False,"SLC39A14(+0.1529),AL034405.1(+0.1118),PCAT1(+0.0845),APP(+0.0676),FP236383.3(+0.0662),TTLL5(+0.0662),HSPA5(+0.0589),DDX10(+0.0551),ATP5F1A(+0.0531),SDF2L1(+0.0504),CTSL(+0.0393),LINC02487(+0.0367),CLNS1A(+0.0326),MMP1(+0.0321),AC009242.1(+0.0316)","GNAS(-0.4105),HSP90AB1(-0.3661),HSP90AA1(-0.3569),UBB(-0.3467),HSPB1(-0.3285),HSPD1(-0.3241),HSPA8(-0.3211),HSPH1(-0.2966),HSPA1A(-0.2804),MYL12B(-0.2576),UBC(-0.2443),RAC1(-0.2377),BTF3(-0.2377),RPSA(-0.2347),MYL6(-0.2334)",0.2093023255813953,0.351270840340172,-0.1419685147587766,0.2558139534883721,0.2535434584154134,0.0022704950729586,0.5348837209302325,0.3951857012444145,0.1396980196858179
zel039_aec7,measured,bb0=BB_6699958170 & bb2=BB_0167791271,bb0,BB_6699958170,bb2,BB_0167791271,46,2.615596,0.23599544,1280.733,0.1427887405174366,0.8814358711242676,0.1239563524723053,60,0.1442143947498358,0.192796085103902,-0.0073946223110854,0.3333333333333333,0.4208853805716604,-0.2833067651346522,0.5373134328358209,0.0775051593671176,0.0768008455634117,6.130434782608695,-0.0008767369526788,643,False,"APP(+0.4383),CANX(+0.4132),CALR(+0.3920),APLP2(+0.3163),PTX3(+0.3117),CLIC1(+0.3097),ITGB1(+0.2824),IGFBP1(+0.2608),TMED2(+0.2474),CLNS1A(+0.2470),PECAM1(+0.2372),HSP90B1(+0.2335),PDIA3(+0.2297),MYL6(+0.2286),TXNRD1(+0.2242)","UBB(-0.2584),HSPA1A(-0.2399),DNAJB1(-0.2184),HSP90AA1(-0.2142),C16orf95(-0.1954),HSPH1(-0.1830),ZFAS1(-0.1737),HMOX1(-0.1684),HSPA1B(-0.1675),RPL39(-0.1674),HSPD1(-0.1623),HSPB1(-0.1603),RPS28(-0.1516),SLC3A2(-0.1506),RPS15A(-0.1378)",0.4565217391304347,0.351270840340172,0.1052508987902627,0.217391304347826,0.2535434584154134,-0.0361521540675873,0.3260869565217391,0.3951857012444145,-0.0690987447226754
zel039_aec7,measured,bb0=BB_0995925376 & bb2=BB_9498562905,bb0,BB_0995925376,bb2,BB_9498562905,45,5.1007247,0.08922252,1935.2893,0.1323720758611505,0.9855554103851318,0.8273490071296692,60,0.1442143947498358,0.192796085103902,-0.0614240630576246,0.3582089552238806,0.4208853805716604,0.8079999683788605,0.208955223880597,0.0868206833295115,0.0558794699609279,4.666666666666667,-0.0008872453833451,644,False,"RPS29(+0.0491),RPS19(+0.0338),RPS14(+0.0321),RPS21(+0.0313),RPLP2(+0.0263),BCYRN1(+0.0223),MT1G(+0.0222),RPS12(+0.0214),AC004540.1(+0.0181),IGF2BP3(+0.0163),MARCKS(+0.0146),CDC42SE1(+0.0136),ZFP36L1(+0.0117),CCDC28A(+0.0100),MMP14(+0.0096)","HSPA5(-0.4150),CANX(-0.3952),HSP90B1(-0.3934),PTX3(-0.3848),ANXA1(-0.3817),PDIA6(-0.3599),PRNP(-0.3572),CALR(-0.3347),APP(-0.3332),MANF(-0.3295),TXNRD1(-0.3215),PECAM1(-0.3188),EEF2(-0.3180),TPM3(-0.3147),RPL5(-0.3120)",0.3333333333333333,0.351270840340172,-0.0179375070068387,0.2444444444444444,0.2535434584154134,-0.0090990139709689,0.4222222222222222,0.3951857012444145,0.0270365209778076
zel039_aec7,measured,bb0=BB_1722497045 & bb2=BB_6014564733,bb0,BB_1722497045,bb2,BB_6014564733,47,2.7146559,0.1063359,1538.5345,0.1420088775945305,0.906779646873474,0.3166298866271972,60,0.1442143947498358,0.192796085103902,-0.0114396366197825,0.3333333333333333,0.4208853805716604,-0.2398061402620864,0.5074626865671642,0.0781644118321485,0.0775158405303955,6.085106382978723,-0.0010664069653352,645,False,"SRP14(+0.2415),S100A16(+0.2334),NQO1(+0.2098),MGST3(+0.2026),TM4SF1(+0.1961),SEM1(+0.1874),MCAM(+0.1855),NOP10(+0.1808),POLR2L(+0.1806),ICAM2(+0.1760),TXN(+0.1720),MYL12B(+0.1660),ATP5ME(+0.1660),RPL6(+0.1650),GNG11(+0.1642)","HSPH1(-0.2335),DNAJB1(-0.2330),HSPA1A(-0.2166),HSP90AA1(-0.1946),C16orf95(-0.1899),HSP90AB1(-0.1862),UBC(-0.1767),SLC39A14(-0.1699),HSPD1(-0.1649),HSPA1B(-0.1568),AC244102.4(-0.1545),DNAJA1(-0.1533),HSPA6(-0.1357),MALAT1(-0.1163),UBB(-0.1121)",0.425531914893617,0.351270840340172,0.074261074553445,0.3404255319148936,0.2535434584154134,0.0868820734994801,0.2340425531914893,0.3951857012444145,-0.1611431480529251
