context,structure_readout_model_r_mean,structure_readout_model_r_sd,identity_readout_model_r_mean,structure_minus_identity_r_mean,structure_minus_identity_r_ci95,structure_minus_identity_frac_folds_positive,reference_trunk_model_r_mean,structure_minus_trunk_r_mean,structure_ridge_r_mean,additive_embedding_floor_r_mean,structure_ridge_minus_floor_r_mean,structure_ridge_minus_floor_r_ci95,structure_ridge_minus_floor_frac_folds_positive
zel024_hek293,0.3387807078785311,0.0198578283134734,0.3334794325699067,0.0052193393606425,"[-0.0138692392460145, 0.022746403588727395]",0.6666666666666666,0.3269031374076866,0.0118775704708446,0.3371385429654742,0.1820118968166096,0.1549820957459744,"[0.12427671010834174, 0.18758166628410605]",1.0
zel024_h1650,0.1397873717438399,0.0096571215218737,0.1391808653744509,0.0006454973045021,"[-0.004038771596507965, 0.00506154729549903]",0.6666666666666666,0.1309985749481037,0.0087887967957362,0.1413059218754784,0.0979063287349012,0.0433155397578423,"[0.03233726604093716, 0.05446192024021725]",1.0
zel028_hek293,0.1086338260204338,0.0067266785298253,0.1198709310513992,-0.0112199884625523,"[-0.013941762551094935, -0.008422686333397671]",0.0,0.1176834022956056,-0.0090495762751718,0.1104514397949376,0.090169914121817,0.0202728601954955,"[0.014278815739974134, 0.026284235606267036]",1.0
zel028_a549,0.0723170445090347,0.0049310390195573,0.0749892287619477,-0.0026841532394249,"[-0.004683676443932181, -0.0006227252457153072]",0.4,0.0782315076143439,-0.0059144631053091,0.0717570134352687,0.0604849840627127,0.0112629801181448,"[0.007359906143287978, 0.015184152601823955]",1.0
zel028_h1650,0.0651823548145412,0.0051519504404057,0.0687102962889463,-0.0035223169339917,"[-0.005672400868437989, -0.0012380773483275426]",0.2,0.0752770358048387,-0.0100946809902974,0.0632391751546708,0.0533373057765007,0.0099095101394447,"[0.006087111924778181, 0.013874821786661246]",1.0
zel031_a549,0.103435058940375,0.0092896255152637,0.1101149716271592,-0.0067006432068752,"[-0.01053020108908274, -0.002597198245842876]",0.2,0.1087086625138112,-0.0052736035734362,0.1028217627599554,0.087388835112767,0.0154428311009089,"[0.008849852110904171, 0.022016003183472643]",1.0
zel031_thp1,0.1904981463873948,0.0178190235652876,0.2082990948440636,-0.0178072334440921,"[-0.022522968990997674, -0.01339880769709739]",0.0,0.2022074232877997,-0.0117092769004049,0.1906669638505404,0.1492466841945525,0.0413548519280409,"[0.02985704369340751, 0.05298351561856842]",1.0
zel039_aec7,0.2687475125059401,0.028603531009036,0.282110931130232,-0.013362620279201,"[-0.017790772124661153, -0.008798825620045272]",0.1333333333333333,0.275315566912827,-0.006568054406887,0.2632684874907893,0.2679641424939117,-0.0047016188005172,"[-0.007774996746847446, 0.0006422232442231613]",0.2
