context,program_cosine_threshold,chemical_tanimoto_threshold
zel024_h1650,0.876416410158823,0.7792207792207793
zel024_hek293,0.894174206156012,0.7792207792207793
zel028_a549,0.805299087261678,0.6712328767123288
zel028_h1650,0.8237802340227445,0.6736842105263158
zel028_hek293,0.8903871210540535,0.6705882352941176
zel031_a549,0.8022724905047106,0.7261904761904762
zel031_thp1,0.8551546560174065,0.725
zel039_aec7,0.9177774245962372,0.7472527472527473
