n_wells,mcPearson_mean,mcPearson_std,null_mean,null_std,null_p025,null_p975
35,-0.21894590179654677,0.09314615172900968,-0.005769491266158055,0.05326859782971646,-0.10553480414764933,0.0954720330636952
100,-0.046668560467571986,0.06591754386605712,-0.006435554277669844,0.02642238597850208,-0.06364668489443294,0.0338660298953518
300,0.12606165913103645,0.021059894096647335,0.000480481663545458,0.02202373958481291,-0.04403904792807775,0.03417842435562796
1000,0.19828910848742753,0.013166566992629357,0.0015901428245803679,0.011006951340985706,-0.01844370478388927,0.02339771734724534
3000,0.24387152860997366,0.004740147443281044,0.0008125526319129374,0.01115868665364161,-0.020270565030751458,0.020435146360163945
11435,0.27875585535867187,0.000770092572078059,-0.0003363109775456448,0.00814362365703546,-0.013414035338698681,0.017670366517225665
