regime,n_wells,alpha,mcPearson,R2_mean_perdim,R2_pooled,null_mean,null_std,null_p95,p_value
a_raw,11435,1000.0,0.2770597914843342,0.08567640883055663,0.08567640883055672,0.00025061054885687847,0.007470045582181722,0.012581861003466855,0.004975124378109453
b_within_control,11435,1000.0,0.21652891908494587,0.053386511757765806,0.05264298337092144,0.00011553755354233121,0.006400444858944677,0.011104220211910798,0.004975124378109453
c_across_control_LOGO,11435,1000.0,0.2381046560434933,0.06476623739914816,0.06476623739914811,-0.00031316814294592046,0.007291837458070304,0.01113546883059547,0.004975124378109453
