train_size,replicate,batch_id,control_name,train_n,test_n
1000,1,batch_2,momelotinib/CYT387,8,18
1000,1,batch_2,palbociclib,12,26
1000,1,batch_2,rucaparib,10,23
1000,1,batch_2,sorafenib,4,8
1000,1,batch_2,veliparib,8,19
1000,2,batch_1,AZD-3463,22,51
1000,2,batch_1,AZD-7624,22,50
1000,2,batch_1,BAY-293,21,49
1000,2,batch_1,BGT226,11,25
1000,2,batch_1,BMS-509744,21,49
1000,2,batch_1,CP-673451,22,51
1000,2,batch_1,Capmatinib,11,24
1000,2,batch_1,Crizotinib,25,57
1000,2,batch_1,GCN2-IN-7,19,43
1000,2,batch_1,GSK126,20,46
1000,2,batch_1,HTH-01-015,22,50
1000,2,batch_1,IRAK inhibitor 1,20,46
1000,2,batch_1,JAB-3068,22,50
1000,2,batch_1,KME-2780,17,39
1000,2,batch_1,MK2-IN-1,12,28
1000,2,batch_1,MSC1094308,16,37
1000,2,batch_1,N-deshydroxyethyl dasatinib,21,48
1000,2,batch_1,SMARCA ligand 1,24,54
1000,2,batch_1,STC-15,25,57
1000,2,batch_1,STM2457,18,42
1000,2,batch_1,XL019,21,49
1000,2,batch_1,ZF135/MRTX-1719,20,45
1000,2,batch_1,ZM336372,14,33
1000,2,batch_1,aloperine,17,39
1000,2,batch_1,ceritinib,22,50
1000,2,batch_1,cobimetinib,26,59
1000,2,batch_1,derazantinib,22,51
1000,2,batch_1,endoxifen,20,47
1000,2,batch_1,fexagratinib,23,53
1000,2,batch_1,lapatinib,21,48
1000,2,batch_1,momelotinib/CYT387,23,53
1000,2,batch_1,palbociclib,24,56
1000,2,batch_1,rucaparib,24,54
1000,2,batch_1,sorafenib,9,21
1000,2,batch_1,veliparib,21,49
1000,2,batch_2,AZD-3463,6,13
1000,2,batch_2,AZD-7624,11,26
1000,2,batch_2,BAY-293,12,26
1000,2,batch_2,BGT226,5,11
1000,2,batch_2,BMS-509744,7,16
1000,2,batch_2,CP-673451,12,27
1000,2,batch_2,Capmatinib,4,9
1000,2,batch_2,Crizotinib,12,29
1000,2,batch_2,GCN2-IN-7,7,16
1000,2,batch_2,GSK126,12,26
1000,2,batch_2,HTH-01-015,10,23
1000,2,batch_2,IRAK inhibitor 1,11,24
1000,2,batch_2,JAB-3068,8,19
1000,2,batch_2,KME-2780,11,24
1000,2,batch_2,MK2-IN-1,6,13
1000,2,batch_2,MSC1094308,4,8
1000,2,batch_2,N-deshydroxyethyl dasatinib,9,21
1000,2,batch_2,SMARCA ligand 1,13,30
1000,2,batch_2,STC-15,12,28
1000,2,batch_2,STM2457,7,16
1000,2,batch_2,XL019,10,22
1000,2,batch_2,ZF135/MRTX-1719,9,20
1000,2,batch_2,ZM336372,6,12
1000,2,batch_2,aloperine,8,17
1000,2,batch_2,ceritinib,7,17
1000,2,batch_2,cobimetinib,7,17
1000,2,batch_2,derazantinib,8,18
1000,2,batch_2,endoxifen,10,24
1000,2,batch_2,fexagratinib,8,19
1000,2,batch_2,lapatinib,8,19
1000,2,batch_2,momelotinib/CYT387,8,18
1000,2,batch_2,palbociclib,12,26
1000,2,batch_2,rucaparib,10,23
1000,2,batch_2,sorafenib,4,8
1000,2,batch_2,veliparib,8,19
3000,0,batch_1,AZD-3463,67,51
3000,0,batch_1,AZD-7624,65,50
3000,0,batch_1,BAY-293,64,49
3000,0,batch_1,BGT226,32,25
3000,0,batch_1,BMS-509744,64,49
3000,0,batch_1,CP-673451,67,51
3000,0,batch_1,Capmatinib,32,24
3000,0,batch_1,Crizotinib,75,57
3000,0,batch_1,GCN2-IN-7,56,43
3000,0,batch_1,GSK126,60,46
3000,0,batch_1,HTH-01-015,65,50
3000,0,batch_1,IRAK inhibitor 1,61,46
3000,0,batch_1,JAB-3068,66,50
3000,0,batch_1,KME-2780,52,39
3000,0,batch_1,MK2-IN-1,36,28
3000,0,batch_1,MSC1094308,49,37
3000,0,batch_1,N-deshydroxyethyl dasatinib,63,48
3000,0,batch_1,SMARCA ligand 1,71,54
3000,0,batch_1,STC-15,75,57
3000,0,batch_1,STM2457,55,42
3000,0,batch_1,XL019,64,49
3000,0,batch_1,ZF135/MRTX-1719,59,45
3000,0,batch_1,ZM336372,43,33
3000,0,batch_1,aloperine,51,39
3000,0,batch_1,ceritinib,65,50
3000,0,batch_1,cobimetinib,77,59
3000,0,batch_1,derazantinib,66,51
3000,0,batch_1,endoxifen,61,47
3000,0,batch_1,fexagratinib,69,53
3000,0,batch_1,lapatinib,63,48
3000,0,batch_1,momelotinib/CYT387,70,53
3000,0,batch_1,palbociclib,73,56
3000,0,batch_1,rucaparib,71,54
3000,0,batch_1,sorafenib,28,21
3000,0,batch_1,veliparib,64,49
3000,0,batch_2,AZD-3463,17,13
3000,0,batch_2,AZD-7624,34,26
3000,0,batch_2,BAY-293,34,26
3000,0,batch_2,BGT226,14,11
3000,0,batch_2,BMS-509744,21,16
3000,0,batch_2,CP-673451,35,27
3000,0,batch_2,Capmatinib,13,9
3000,0,batch_2,Crizotinib,37,29
3000,0,batch_2,GCN2-IN-7,22,16
3000,0,batch_2,GSK126,35,26
3000,0,batch_2,HTH-01-015,30,23
3000,0,batch_2,IRAK inhibitor 1,31,24
3000,0,batch_2,JAB-3068,24,19
3000,0,batch_2,KME-2780,32,24
3000,0,batch_2,MK2-IN-1,18,13
3000,0,batch_2,MSC1094308,11,8
3000,0,batch_2,N-deshydroxyethyl dasatinib,27,21
3000,0,batch_2,SMARCA ligand 1,40,30
3000,0,batch_2,STC-15,37,28
3000,0,batch_2,STM2457,22,16
3000,0,batch_2,XL019,29,22
3000,0,batch_2,ZF135/MRTX-1719,27,20
3000,0,batch_2,ZM336372,17,12
3000,0,batch_2,aloperine,23,17
3000,0,batch_2,ceritinib,22,17
3000,0,batch_2,cobimetinib,22,17
3000,0,batch_2,derazantinib,23,18
3000,0,batch_2,endoxifen,31,24
3000,0,batch_2,fexagratinib,24,19
3000,0,batch_2,lapatinib,25,19
3000,0,batch_2,momelotinib/CYT387,24,18
3000,0,batch_2,palbociclib,34,26
3000,0,batch_2,rucaparib,30,23
3000,0,batch_2,sorafenib,11,8
3000,0,batch_2,veliparib,25,19
3000,1,batch_1,AZD-3463,67,51
3000,1,batch_1,AZD-7624,65,50
3000,1,batch_1,BAY-293,64,49
3000,1,batch_1,BGT226,32,25
3000,1,batch_1,BMS-509744,64,49
3000,1,batch_1,CP-673451,67,51
3000,1,batch_1,Capmatinib,32,24
3000,1,batch_1,Crizotinib,75,57
3000,1,batch_1,GCN2-IN-7,56,43
3000,1,batch_1,GSK126,60,46
3000,1,batch_1,HTH-01-015,65,50
3000,1,batch_1,IRAK inhibitor 1,61,46
3000,1,batch_1,JAB-3068,66,50
3000,1,batch_1,KME-2780,52,39
3000,1,batch_1,MK2-IN-1,36,28
3000,1,batch_1,MSC1094308,49,37
3000,1,batch_1,N-deshydroxyethyl dasatinib,63,48
3000,1,batch_1,SMARCA ligand 1,71,54
3000,1,batch_1,STC-15,75,57
3000,1,batch_1,STM2457,55,42
3000,1,batch_1,XL019,64,49
3000,1,batch_1,ZF135/MRTX-1719,59,45
3000,1,batch_1,ZM336372,43,33
3000,1,batch_1,aloperine,51,39
3000,1,batch_1,ceritinib,65,50
3000,1,batch_1,cobimetinib,77,59
3000,1,batch_1,derazantinib,66,51
3000,1,batch_1,endoxifen,61,47
3000,1,batch_1,fexagratinib,69,53
3000,1,batch_1,lapatinib,63,48
3000,1,batch_1,momelotinib/CYT387,70,53
3000,1,batch_1,palbociclib,73,56
3000,1,batch_1,rucaparib,71,54
3000,1,batch_1,sorafenib,28,21
3000,1,batch_1,veliparib,64,49
3000,1,batch_2,AZD-3463,17,13
3000,1,batch_2,AZD-7624,34,26
3000,1,batch_2,BAY-293,34,26
3000,1,batch_2,BGT226,14,11
3000,1,batch_2,BMS-509744,21,16
3000,1,batch_2,CP-673451,35,27
3000,1,batch_2,Capmatinib,13,9
3000,1,batch_2,Crizotinib,37,29
3000,1,batch_2,GCN2-IN-7,22,16
3000,1,batch_2,GSK126,35,26
3000,1,batch_2,HTH-01-015,30,23
3000,1,batch_2,IRAK inhibitor 1,31,24
3000,1,batch_2,JAB-3068,24,19
3000,1,batch_2,KME-2780,32,24
3000,1,batch_2,MK2-IN-1,18,13
3000,1,batch_2,MSC1094308,11,8
3000,1,batch_2,N-deshydroxyethyl dasatinib,27,21
3000,1,batch_2,SMARCA ligand 1,40,30
3000,1,batch_2,STC-15,37,28
3000,1,batch_2,STM2457,22,16
3000,1,batch_2,XL019,29,22
3000,1,batch_2,ZF135/MRTX-1719,27,20
3000,1,batch_2,ZM336372,17,12
3000,1,batch_2,aloperine,23,17
3000,1,batch_2,ceritinib,22,17
3000,1,batch_2,cobimetinib,22,17
3000,1,batch_2,derazantinib,23,18
3000,1,batch_2,endoxifen,31,24
3000,1,batch_2,fexagratinib,24,19
3000,1,batch_2,lapatinib,25,19
3000,1,batch_2,momelotinib/CYT387,24,18
3000,1,batch_2,palbociclib,34,26
3000,1,batch_2,rucaparib,30,23
3000,1,batch_2,sorafenib,11,8
3000,1,batch_2,veliparib,25,19
3000,2,batch_1,AZD-3463,67,51
3000,2,batch_1,AZD-7624,65,50
3000,2,batch_1,BAY-293,64,49
3000,2,batch_1,BGT226,32,25
3000,2,batch_1,BMS-509744,64,49
3000,2,batch_1,CP-673451,67,51
3000,2,batch_1,Capmatinib,32,24
3000,2,batch_1,Crizotinib,75,57
3000,2,batch_1,GCN2-IN-7,56,43
3000,2,batch_1,GSK126,60,46
3000,2,batch_1,HTH-01-015,65,50
3000,2,batch_1,IRAK inhibitor 1,61,46
3000,2,batch_1,JAB-3068,66,50
3000,2,batch_1,KME-2780,52,39
3000,2,batch_1,MK2-IN-1,36,28
3000,2,batch_1,MSC1094308,49,37
3000,2,batch_1,N-deshydroxyethyl dasatinib,63,48
3000,2,batch_1,SMARCA ligand 1,71,54
3000,2,batch_1,STC-15,75,57
3000,2,batch_1,STM2457,55,42
3000,2,batch_1,XL019,64,49
3000,2,batch_1,ZF135/MRTX-1719,59,45
3000,2,batch_1,ZM336372,43,33
3000,2,batch_1,aloperine,51,39
3000,2,batch_1,ceritinib,65,50
3000,2,batch_1,cobimetinib,77,59
3000,2,batch_1,derazantinib,66,51
3000,2,batch_1,endoxifen,61,47
3000,2,batch_1,fexagratinib,69,53
3000,2,batch_1,lapatinib,63,48
3000,2,batch_1,momelotinib/CYT387,70,53
3000,2,batch_1,palbociclib,73,56
3000,2,batch_1,rucaparib,71,54
3000,2,batch_1,sorafenib,28,21
3000,2,batch_1,veliparib,64,49
3000,2,batch_2,AZD-3463,17,13
3000,2,batch_2,AZD-7624,34,26
3000,2,batch_2,BAY-293,34,26
3000,2,batch_2,BGT226,14,11
3000,2,batch_2,BMS-509744,21,16
3000,2,batch_2,CP-673451,35,27
3000,2,batch_2,Capmatinib,13,9
3000,2,batch_2,Crizotinib,37,29
3000,2,batch_2,GCN2-IN-7,22,16
3000,2,batch_2,GSK126,35,26
3000,2,batch_2,HTH-01-015,30,23
3000,2,batch_2,IRAK inhibitor 1,31,24
3000,2,batch_2,JAB-3068,24,19
3000,2,batch_2,KME-2780,32,24
3000,2,batch_2,MK2-IN-1,18,13
3000,2,batch_2,MSC1094308,11,8
3000,2,batch_2,N-deshydroxyethyl dasatinib,27,21
3000,2,batch_2,SMARCA ligand 1,40,30
3000,2,batch_2,STC-15,37,28
3000,2,batch_2,STM2457,22,16
3000,2,batch_2,XL019,29,22
3000,2,batch_2,ZF135/MRTX-1719,27,20
3000,2,batch_2,ZM336372,17,12
3000,2,batch_2,aloperine,23,17
3000,2,batch_2,ceritinib,22,17
3000,2,batch_2,cobimetinib,22,17
3000,2,batch_2,derazantinib,23,18
3000,2,batch_2,endoxifen,31,24
3000,2,batch_2,fexagratinib,24,19
3000,2,batch_2,lapatinib,25,19
3000,2,batch_2,momelotinib/CYT387,24,18
3000,2,batch_2,palbociclib,34,26
3000,2,batch_2,rucaparib,30,23
3000,2,batch_2,sorafenib,11,8
3000,2,batch_2,veliparib,25,19
8000,0,batch_1,AZD-3463,179,51
8000,0,batch_1,AZD-7624,173,50
8000,0,batch_1,BAY-293,170,49
8000,0,batch_1,BGT226,86,25
8000,0,batch_1,BMS-509744,171,49
8000,0,batch_1,CP-673451,179,51
8000,0,batch_1,Capmatinib,86,24
8000,0,batch_1,Crizotinib,199,57
8000,0,batch_1,GCN2-IN-7,149,43
8000,0,batch_1,GSK126,161,46
8000,0,batch_1,HTH-01-015,173,50
8000,0,batch_1,IRAK inhibitor 1,162,46
8000,0,batch_1,JAB-3068,175,50
8000,0,batch_1,KME-2780,138,39
8000,0,batch_1,MK2-IN-1,96,28
8000,0,batch_1,MSC1094308,131,37
8000,0,batch_1,N-deshydroxyethyl dasatinib,168,48
8000,0,batch_1,SMARCA ligand 1,191,54
8000,0,batch_1,STC-15,201,57
8000,0,batch_1,STM2457,148,42
8000,0,batch_1,XL019,170,49
8000,0,batch_1,ZF135/MRTX-1719,156,45
8000,0,batch_1,ZM336372,115,33
8000,0,batch_1,aloperine,135,39
8000,0,batch_1,ceritinib,173,50
8000,0,batch_1,cobimetinib,205,59
8000,0,batch_1,derazantinib,177,51
8000,0,batch_1,endoxifen,163,47
8000,0,batch_1,fexagratinib,184,53
8000,0,batch_1,lapatinib,168,48
8000,0,batch_1,momelotinib/CYT387,186,53
8000,0,batch_1,palbociclib,195,56
8000,0,batch_1,rucaparib,190,54
8000,0,batch_1,sorafenib,73,21
