train_size,replicate,arm,shuffle_index,sample_seed,permutation_seed,test_wells,strata,mean_pearson,mean_r2
3000,2,within_control_batch_shuffle,4,20560917,21560921.0,2287,70,-0.006128495789210228,-0.061904622230505774
8000,0,exact_pair,-1,21060915,,2287,70,0.12386943822087179,0.0022399756808863663
8000,0,within_control_batch_shuffle,0,21060915,22060915.0,2287,70,0.0025945816254329644,-0.030248045140736465
8000,0,within_control_batch_shuffle,1,21060915,22060916.0,2287,70,-0.004786209590780098,-0.03439377574175913
8000,0,within_control_batch_shuffle,2,21060915,22060917.0,2287,70,-0.0003562557148215185,-0.03148744212277845
8000,0,within_control_batch_shuffle,3,21060915,22060918.0,2287,70,0.011113881928312159,-0.026397506768942924
8000,0,within_control_batch_shuffle,4,21060915,22060919.0,2287,70,-0.005321741267910188,-0.03205132328483422
8000,1,exact_pair,-1,21060916,,2287,70,0.12431200620205732,0.0027207100710867627
8000,1,within_control_batch_shuffle,0,21060916,22060916.0,2287,70,0.004775730026794454,-0.0299498966004176
8000,1,within_control_batch_shuffle,1,21060916,22060917.0,2287,70,0.0029623102384779554,-0.030114627844483974
8000,1,within_control_batch_shuffle,2,21060916,22060918.0,2287,70,0.005330924220571631,-0.02705879348700907
8000,1,within_control_batch_shuffle,3,21060916,22060919.0,2287,70,-0.003144491933870652,-0.0332836454785502
8000,1,within_control_batch_shuffle,4,21060916,22060920.0,2287,70,0.0025025415450332135,-0.03092134455252918
8000,2,exact_pair,-1,21060917,,2287,70,0.12622971178200232,0.003724702916616411
8000,2,within_control_batch_shuffle,0,21060917,22060917.0,2287,70,-0.004997417405207887,-0.033365843028559244
8000,2,within_control_batch_shuffle,1,21060917,22060918.0,2287,70,-0.0021876860507271797,-0.03132956288206953
8000,2,within_control_batch_shuffle,2,21060917,22060919.0,2287,70,0.00020278942801491657,-0.030425080417755587
8000,2,within_control_batch_shuffle,3,21060917,22060920.0,2287,70,0.0008880568141348571,-0.03124486743662379
8000,2,within_control_batch_shuffle,4,21060917,22060921.0,2287,70,0.00110166641486017,-0.031261788672704724
