train_size,arm,n_models,mean_pearson,min_pearson,max_pearson,mean_r2,min_r2,max_r2
350,exact_pair,3,0.045504383204068556,0.04049889064098018,0.051737734905503964,-0.21708655317274217,-0.23349590363981415,-0.20473664792624757
350,within_control_batch_shuffle,15,-0.0031247195886041686,-0.017586328313410567,0.01903620993821597,-0.250498010164264,-0.2975168823826021,-0.2263968488983139
1000,exact_pair,3,0.07633668554120397,0.07122205415632357,0.08549714740791545,-0.0893208371874223,-0.09707375946188393,-0.08380571304210906
1000,within_control_batch_shuffle,15,0.002784729377222315,-0.006472498700463351,0.009381796637567278,-0.12287977188014465,-0.13302581226642735,-0.11674075373098042
3000,exact_pair,3,0.10091585823019657,0.09828690143543717,0.10358326961653146,-0.029459471267858542,-0.03259073801692704,-0.02785910345366967
3000,within_control_batch_shuffle,15,-0.00080454527089762,-0.009486171527572418,0.007975203928011486,-0.062127686651287276,-0.06880648022812735,-0.05921651791509546
8000,exact_pair,3,0.12480371873497714,0.12386943822087179,0.12622971178200232,0.0028951295561965135,0.0022399756808863663,0.003724702916616411
8000,within_control_batch_shuffle,15,0.00071191201855432,-0.005321741267910188,0.011113881928312159,-0.03090223623065027,-0.03439377574175913,-0.026397506768942924
