role,public_compound_id,program,raw_core_usage,standardized_core_usage,standardized_family_median,context_program_median,context_program_standard_deviation
response_family,CPD_834100682076,P01,3.26574969291687,0.6742502493979546,0.6064891138999339,-0.11766580864787102,5.018041156952971
response_family,CPD_834100682076,P02,2.993180513381958,0.8096682888294258,0.08956774979614548,-0.1352900192141533,3.8638916402655257
response_family,CPD_834100682076,P03,-5.9619340896606445,-1.7543260139369148,-0.7253861837620539,-0.05226873978972435,3.3686243622466345
response_family,CPD_834100682076,P04,-2.438519239425659,-0.5069866239056289,0.168274629400362,-0.10820133611559868,4.596409044006315
response_family,CPD_834100682076,P05,-4.4783148765563965,-0.8951488912209156,-0.6615110273207894,-0.1440722867846489,4.841923653460786
response_family,CPD_834100682076,P06,-1.2978699207305908,-0.23144426362901058,0.003334776773883699,-0.2451346516609192,4.5485476829839895
response_family,CPD_834100682076,P07,-0.6896543502807617,-0.18510296403611795,-0.16908865665434358,0.2691248804330826,5.179707606015233
response_family,CPD_834100682076,P08,-2.444018840789795,-0.5086809163364604,0.09562383879655653,-0.23749426007270813,4.337738078732267
response_family,CPD_834100682076,P09,2.669296979904175,0.607424460505635,0.04432778812306956,0.028464973904192448,4.347589169856098
response_family,CPD_834100682076,P10,-1.0179104804992676,-0.2789137828007762,-0.3629039619263512,0.10616666451096535,4.030195760577181
response_family,CPD_834100682076,P11,-7.817851543426514,-1.3336371257471822,-0.8219876737839641,-0.07999473810195923,5.802070635210722
response_family,CPD_834100682076,P12,5.753561019897461,1.2990241923066435,1.0778966445330318,-0.31981681287288666,4.6753385108140355
response_family,CPD_834100682076,P13,-6.439030170440674,-0.9343984759882424,-0.5849322263708145,-0.24608966708183289,6.627729670480292
response_family,CPD_834100682076,P14,-4.515388488769531,-0.9238402607245721,-0.12258420788720134,-0.13461945205926895,4.741911803318038
response_family,CPD_834100682076,P15,14.247603416442871,1.9245471445847522,1.0302950014803314,-0.4245503693819046,7.6236915406873536
response_family,CPD_834100682076,P16,9.439888954162598,1.2311128064762258,0.5960200844592118,-1.156401515007019,8.607083293609003
response_family,CPD_834100682076,P17,-1.1832817792892456,-0.2695308054951248,-0.18276268596011983,0.7709555625915527,7.250515718568376
response_family,CPD_834100682076,P18,9.023066520690918,1.7666494896898088,0.6503392079634912,-0.00971299223601818,5.112943776138031
response_family,CPD_834100682076,P19,-2.5748465061187744,-0.4829759778867834,-0.537340091177632,-0.13910848647356033,5.0431866824982885
response_family,CPD_834100682076,P20,-5.374258995056152,-0.6217331310257687,-0.22309530742473857,0.6276896297931671,9.653576953422094
response_family,CPD_834100682076,P21,-14.577573776245117,-1.3049933598932593,-0.9235519849493516,-0.1261500120162964,11.073944288429837
response_family,CPD_834100682076,P22,-0.5346059799194336,-0.13057896019865806,-0.046291104939915104,0.10750625282526016,4.9174249187450085
response_family,CPD_834100682076,P23,7.696346759796143,0.9113269388452975,0.5051399211912015,-0.48491865396499634,8.977311067010993
response_family,CPD_834100682076,P24,-6.525322437286377,-0.7642264096812886,-0.22999384341561108,-0.6264453828334808,7.718755829065043
response_family,CPD_834100682076,P25,7.957024574279785,1.5591045874650207,0.4657079455141869,-0.05510636419057846,5.1389310267487875
response_family,CPD_834100682076,P26,-12.049083709716797,-2.0578192659882073,-1.0043815183263625,0.3093164563179016,6.005580942065842
