rank,family_id,target_gene,family_size,family_max_z,family_evidence,public_compound_id,best_z,tier,contexts,kd_flag_weak,is_family_representative,n_contexts,family_contexts,total_family_size,hub_flag,kd_delta_median,mean_top3_z,replication_factor,composite_score
34,NF10,RPL21,3,6.98,recipe,CPD_794110929239,6.98,C_moderate,zel024_hek293,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-1.105,5.995,1.5,4.291
35,NF10,RPL21,3,6.98,recipe,CPD_602157367849,6.0,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.105,5.995,1.5,4.291
36,NF10,RPL21,3,6.98,recipe,CPD_613745932495,5.01,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.105,5.995,1.5,4.291
37,NF11,PLPPR2,3,6.34,recipe,CPD_898676236094,6.34,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-0.411,5.939,1.5,4.25
38,NF11,PLPPR2,3,6.34,recipe,CPD_305459773680,5.76,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-0.411,5.939,1.5,4.25
39,NF11,PLPPR2,3,6.34,recipe,CPD_293782465155,5.72,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-0.411,5.939,1.5,4.25
40,NF12,MIER3,3,6.85,recipe,CPD_832438306795,6.85,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-0.479,5.853,1.5,4.189
41,NF12,MIER3,3,6.85,recipe,CPD_672801585612,5.66,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-0.479,5.853,1.5,4.189
42,NF12,MIER3,3,6.85,recipe,CPD_993288043025,5.05,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-0.479,5.853,1.5,4.189
43,NF13,SMARCA5,3,9.73,recipe,CPD_282315023295,9.73,B_single_context,zel028_hek293,False,True,1,zel028_hek293,184,frequent,-2.926,8.624,1.0,4.115
44,NF13,SMARCA5,3,9.73,recipe,CPD_678318451873,9.6,B_single_context,zel028_hek293,False,False,1,zel028_hek293,184,frequent,-2.926,8.624,1.0,4.115
45,NF13,SMARCA5,3,9.73,recipe,CPD_217324031480,6.54,C_moderate,zel028_hek293,False,False,1,zel028_hek293,184,frequent,-2.926,8.624,1.0,4.115
46,NF14,C5orf22,3,5.86,recipe,CPD_608653016230,5.86,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-1.318,5.625,1.5,4.025
47,NF14,C5orf22,3,5.86,recipe,CPD_645144425023,5.7,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.318,5.625,1.5,4.025
48,NF14,C5orf22,3,5.86,recipe,CPD_099910463700,5.32,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.318,5.625,1.5,4.025
49,NF15,CCDC84,3,11.16,recipe,CPD_717108551111,11.16,B_single_context,zel024_h1650,False,True,1,zel024_h1650,137,frequent,-0.419,8.38,1.0,3.998
50,NF15,CCDC84,3,11.16,recipe,CPD_028109529060,7.35,C_moderate,zel024_h1650,False,False,1,zel024_h1650,137,frequent,-0.419,8.38,1.0,3.998
51,NF15,CCDC84,3,11.16,recipe,CPD_180430851154,6.63,C_moderate,zel024_h1650,False,False,1,zel024_h1650,137,frequent,-0.419,8.38,1.0,3.998
52,NF16,MED22,3,5.8,recipe,CPD_408904189514,5.8,C_moderate,zel028_hek293,False,True,2,"zel028_h1650,zel028_hek293",144,frequent,-0.393,5.58,1.5,3.993
53,NF16,MED22,3,5.8,recipe,CPD_588007821304,5.69,C_moderate,zel028_h1650,False,False,2,"zel028_h1650,zel028_hek293",144,frequent,-0.393,5.58,1.5,3.993
54,NF16,MED22,3,5.8,recipe,CPD_129388926834,5.25,C_moderate,zel028_h1650,False,False,2,"zel028_h1650,zel028_hek293",144,frequent,-0.393,5.58,1.5,3.993
55,NF17,CDC6,3,5.85,recipe,CPD_850600316394,5.85,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-1.32,5.548,1.5,3.971
56,NF17,CDC6,3,5.85,recipe,CPD_881820077749,5.58,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.32,5.548,1.5,3.971
57,NF17,CDC6,3,5.85,recipe,CPD_596112406419,5.22,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.32,5.548,1.5,3.971
58,NF18,MAP3K4,3,6.12,recipe,CPD_835806199558,6.12,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-1.281,5.527,1.5,3.956
59,NF18,MAP3K4,3,6.12,recipe,CPD_121827443271,5.43,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.281,5.527,1.5,3.956
60,NF18,MAP3K4,3,6.12,recipe,CPD_392784595755,5.04,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-1.281,5.527,1.5,3.956
61,NF19,BET1,3,5.73,recipe,CPD_856906107023,5.73,C_moderate,zel028_h1650,False,True,2,"zel028_h1650,zel028_hek293",169,frequent,-0.862,5.448,1.5,3.899
62,NF19,BET1,3,5.73,recipe,CPD_850872595907,5.53,C_moderate,zel028_hek293,False,False,2,"zel028_h1650,zel028_hek293",169,frequent,-0.862,5.448,1.5,3.899
63,NF19,BET1,3,5.73,recipe,CPD_536589034157,5.09,C_moderate,zel028_h1650,False,False,2,"zel028_h1650,zel028_hek293",169,frequent,-0.862,5.448,1.5,3.899
64,NF20,SMC1A,3,5.93,recipe,CPD_910554223676,5.93,C_moderate,zel024_hek293,False,True,2,"zel024_h1650,zel024_hek293",132,frequent,-3.179,5.431,1.5,3.887
65,NF20,SMC1A,3,5.93,recipe,CPD_694985259928,5.29,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",132,frequent,-3.179,5.431,1.5,3.887
66,NF20,SMC1A,3,5.93,recipe,CPD_789803773635,5.07,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",132,frequent,-3.179,5.431,1.5,3.887
67,NF21,UBXN1,3,5.6,recipe,CPD_889543287369,5.6,C_moderate,zel024_h1650,False,True,2,"zel024_h1650,zel024_hek293",137,frequent,-0.99,5.422,1.5,3.88
68,NF21,UBXN1,3,5.6,recipe,CPD_448153639753,5.42,C_moderate,zel024_h1650,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-0.99,5.422,1.5,3.88
69,NF21,UBXN1,3,5.6,recipe,CPD_803822413414,5.24,C_moderate,zel024_hek293,False,False,2,"zel024_h1650,zel024_hek293",137,frequent,-0.99,5.422,1.5,3.88
70,NF22,PSD3,3,6.0,recipe,CPD_023765926505,6.0,C_moderate,zel028_a549,False,True,2,"zel028_a549,zel028_hek293",131,specific,-0.674,5.407,1.5,3.869
71,NF22,PSD3,3,6.0,recipe,CPD_966447582560,5.16,C_moderate,zel028_hek293,False,False,2,"zel028_a549,zel028_hek293",131,specific,-0.674,5.407,1.5,3.869
72,NF22,PSD3,3,6.0,recipe,CPD_876885595330,5.06,C_moderate,zel028_a549,False,False,2,"zel028_a549,zel028_hek293",131,specific,-0.674,5.407,1.5,3.869
73,NF23,CDC6,4,7.34,recipe,CPD_183530001081,7.34,C_moderate,zel024_h1650,False,True,1,zel024_h1650,155,frequent,-1.32,6.407,1.0,3.857
74,NF23,CDC6,4,7.34,recipe,CPD_624107594404,6.2,C_moderate,zel024_h1650,False,False,1,zel024_h1650,155,frequent,-1.32,6.407,1.0,3.857
