public_compound_id,target_gene,contexts_x,n_datasets_scored,n_datasets_top5pct,n_datasets_top1pct,best_percentile,max_cosine,median_percentile,best_dataset_exact,tier,best_z,n_contexts,contexts_y,best_rank,kd_delta_median,kd_flag_weak,contexts,name,moa_class,primary_target,evidence_strength,hub_frac,hub_flag
CPD_168135774311,CNOT1,"zel028_h1650,zel028_hek293,zel039_aec7",7,16,9,0.000109331438255,0.4363687932491302,0.0112829084830756,xatlas_hct116,,10.271577,3.0,,4.0,,,"zel028_h1650,zel028_hek293,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0459874479297673,hub_generic_stress
CPD_351179563828,XRN1,"zel031_a549,zel039_aec7",10,16,8,0.0004178854993731,0.4896372854709625,0.014286530469605,rpe1,,9.910281,2.0,,6.0,,,"zel031_a549,zel039_aec7",N-deshydroxyethyl dasatinib,BCR_ABL_inhibitor,BCR-ABL/SRC,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_828911286689,XRN1,"zel031_a549,zel031_thp1",10,16,8,0.0004178854993731,0.3041642904281616,0.0174063542613389,rpe1,B_consensus_strong,8.185787,2.0,"zel031_a549,zel031_thp1",1.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_326167036106,UPF2,"zel028_h1650,zel031_a549,zel039_aec7",10,15,5,0.0017230893979322,0.3537846505641937,0.0528625156707062,replogle_k562_gwps,,11.907643,3.0,,2.0,,,"zel028_h1650,zel031_a549,zel039_aec7",Capmatinib,ALK_MET_inhibitor,MET,strong_multi_dataset,0.0828829270986067,hub_generic_stress
CPD_168135774311,UPF2,"zel028_h1650,zel031_a549,zel039_aec7",10,15,5,0.0006081491992702,0.3757851123809814,0.0494757761433202,replogle_k562_gwps,,11.68062,3.0,,1.0,,,"zel028_h1650,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0828829270986067,hub_generic_stress
CPD_780406670572,UPF2,"zel028_h1650,zel031_a549,zel039_aec7",10,15,5,0.0012162983985404,0.3957442045211792,0.0511473783710507,replogle_k562_gwps,,11.325259,3.0,,2.0,,,"zel028_h1650,zel031_a549,zel039_aec7",MSC1094308,AAA_ATPase_inhibitor,VCP;VPS4B,strong_multi_dataset,0.0828829270986067,hub_generic_stress
CPD_097241972673,XRN1,"zel031_a549,zel039_aec7",10,15,8,0.0004178854993731,0.5278599858283997,0.0184319359881304,rpe1,,10.853534,2.0,,12.0,,,"zel031_a549,zel039_aec7",AZD-7624,Stress_kinase_inhibitor,p38 MAPK (MAPK14),strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_150752035598,XRN1,"zel031_a549,zel039_aec7",10,15,8,0.0004178854993731,0.465682178735733,0.0134789646753532,rpe1,,10.316593,2.0,,1.0,,,"zel031_a549,zel039_aec7",BGT226,PI3K_mTOR_inhibitor,PI3K/mTOR,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_097241972673,CNOT2,"zel028_h1650,zel028_hek293,zel039_aec7",10,15,12,0.0007106543486579,0.3913594782352447,0.0422663693492803,xatlas_hct116,,10.3090725,3.0,,7.0,,,"zel028_h1650,zel028_hek293,zel039_aec7",AZD-7624,Stress_kinase_inhibitor,p38 MAPK (MAPK14),strong_multi_dataset,0.0442942067840074,hub_generic_stress
CPD_430449302192,XRCC2,"zel028_hek293,zel031_a549,zel031_thp1,zel039_aec7",10,15,6,0.0008760402978537,0.3079865574836731,0.0967178690804816,zhu_cd4t_stim8hr,,10.193366,4.0,,4.0,,,"zel028_hek293,zel031_a549,zel031_thp1,zel039_aec7",STM2457,Epigenetic_writer_eraser,METTL3,strong_multi_dataset,0.0101042324893712,hub_generic_stress
CPD_236412001094,XRN1,"zel031_a549,zel039_aec7",10,15,10,0.0004178854993731,0.4265568554401397,0.0079398244880902,rpe1,,9.861428,2.0,,1.0,,,"zel031_a549,zel039_aec7",ceritinib,ALK_MET_inhibitor,ALK,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_841451500162,XRN1,"zel031_a549,zel031_thp1",10,15,7,0.0004178854993731,0.261418879032135,0.0182672853896146,rpe1,B_consensus_strong,9.016867,2.0,"zel031_a549,zel031_thp1",1.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_057916719540,XRN1,"zel031_a549,zel031_thp1",10,15,9,8.760402978537013e-05,0.278078019618988,0.0156816415365235,zhu_cd4t_stim8hr,B_consensus_strong,8.625783,2.0,"zel031_a549,zel031_thp1",1.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_180498304793,XRN1,"zel031_a549,zel031_thp1",10,15,6,0.0004178854993731,0.1934968829154968,0.0155876431788393,rpe1,B_consensus_strong,8.484457,2.0,"zel031_a549,zel031_thp1",1.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_941158946125,DHX36,"zel028_a549,zel028_hek293",11,14,10,8.760402978537013e-05,0.0665560141205787,0.0234388204355405,zhu_cd4t_stim8hr,B_consensus_strong,12.771375,2.0,"zel028_a549,zel028_hek293",1.0,-2.4204254150390625,False,,,,,strong_multi_dataset,0.046281924650769,hub_generic_stress
CPD_930596955388,CNOT3,"zel028_hek293,zel031_a549,zel039_aec7",7,14,11,5.466571912753512e-05,0.4414583444595337,0.0042597345857681,xatlas_hct116,,11.16618,3.0,,3.0,,,"zel028_hek293,zel031_a549,zel039_aec7",veliparib,PARP_inhibitor,PARP1/PARP2,strong_multi_dataset,0.0382144894816596,hub_generic_stress
CPD_930596955388,UPF2,"zel028_h1650,zel031_a549,zel039_aec7",10,14,5,0.0020894274968658,0.3942034542560577,0.0582950271625574,rpe1,,11.075699,3.0,,3.0,,,"zel028_h1650,zel031_a549,zel039_aec7",veliparib,PARP_inhibitor,PARP1/PARP2,strong_multi_dataset,0.0828829270986067,hub_generic_stress
CPD_727697023490,SUGT1,"zel028_hek293,zel031_a549,zel039_aec7",10,14,5,0.0052272525914769,0.2038237154483795,0.0700612496891587,zhu_cd4t_rest,,9.717816,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",AZD-3463,ALK_MET_inhibitor,ALK/IGF1R,strong_multi_dataset,0.0251961644407089,hub_generic_stress
CPD_908424475140,UPF2,"zel028_h1650,zel031_a549,zel039_aec7",10,14,5,0.0012162983985404,0.3970672488212585,0.0541675141865663,replogle_k562_gwps,,9.7048645,3.0,,2.0,,,"zel028_h1650,zel031_a549,zel039_aec7",derazantinib,FGFR_inhibitor,FGFR1/2/3,strong_multi_dataset,0.0828829270986067,hub_generic_stress
CPD_144607136087,UPF2,"zel028_h1650,zel031_a549,zel039_aec7",10,14,6,0.0006081491992702,0.3115629851818084,0.0576681989134977,replogle_k562_gwps,,9.5912075,3.0,,1.0,,,"zel028_h1650,zel031_a549,zel039_aec7",XL019,JAK_STAT_inhibitor,JAK2,strong_multi_dataset,0.0828829270986067,hub_generic_stress
CPD_449627827767,XRN1,"zel031_a549,zel031_thp1",10,14,9,0.0004178854993731,0.2947517037391662,0.0169359903263835,rpe1,B_consensus_strong,8.530775,2.0,"zel031_a549,zel031_thp1",2.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_780406670572,ABCE1,"zel028_hek293,zel031_a549,zel039_aec7",10,13,1,0.0033430839949853,0.3086425364017486,0.0566066193638976,rpe1,,12.030335,3.0,,7.0,,,"zel028_hek293,zel031_a549,zel039_aec7",MSC1094308,AAA_ATPase_inhibitor,VCP;VPS4B,strong_multi_dataset,0.0355519291292691,hub_generic_stress
CPD_080809749158,THAP11,"zel028_h1650,zel028_hek293",11,13,8,0.0001752080595707,0.0501333251595497,0.0299724099416025,zhu_cd4t_stim8hr,B_consensus_strong,10.47535,2.0,"zel028_h1650,zel028_hek293",1.0,-0.7930049300193787,False,,,,,strong_multi_dataset,0.0375151072692805,hub_generic_stress
CPD_326167036106,ABCE1,"zel028_hek293,zel031_a549,zel039_aec7",10,13,1,0.0033430839949853,0.2713418900966644,0.0755860418555434,rpe1,,10.274777,3.0,,15.0,,,"zel028_hek293,zel031_a549,zel039_aec7",Capmatinib,ALK_MET_inhibitor,MET,strong_multi_dataset,0.0355519291292691,hub_generic_stress
CPD_351179563828,XRCC2,"zel028_hek293,zel031_a549,zel039_aec7",10,13,6,0.0011388523872098,0.3598611652851105,0.0776012001733774,zhu_cd4t_stim8hr,,9.919162,3.0,,5.0,,,"zel028_hek293,zel031_a549,zel039_aec7",N-deshydroxyethyl dasatinib,BCR_ABL_inhibitor,BCR-ABL/SRC,strong_multi_dataset,0.0101042324893712,hub_generic_stress
CPD_351179563828,DDX6,"zel028_hek293,zel031_a549,zel039_aec7",10,13,4,0.001861537097775,0.1500870138406753,0.1174826010316036,zhu_cd4t_stim48hr,,9.778501,3.0,,3.0,,,"zel028_hek293,zel031_a549,zel039_aec7",N-deshydroxyethyl dasatinib,BCR_ABL_inhibitor,BCR-ABL/SRC,strong_multi_dataset,0.0349200311654529,hub_generic_stress
