context,model_variant,fold,seed,n_train,n_val,n_test,prog_pearson_mean,prog_pearson_median,prog_pearson_min,prog_pearson_max,null_mean,null_sd,null_q95,null_tail_frac_ge,above_floor_q95,margin_over_q95,model_hyperparameter
zel039_aec7,mean448_mlp,0,0,10708,1243,3052,0.1648846929568356,0.1783415515477263,0.0097972031568377,0.3224816090891536,0.0004296150108032,0.0060022493663403,0.0105465312694605,0.0,True,0.1543381616873751,5.0
zel039_aec7,mean448_mlp,0,1,10708,1243,3052,0.1689593510890418,0.1762680933837921,0.0348179253476486,0.319313660735098,-0.000117662927023,0.0064838084040172,0.0104194489805195,0.0,True,0.1585399021085223,7.0
zel039_aec7,mean448_mlp,0,2,10708,1243,3052,0.1643137106129718,0.1682337412515392,0.0054777463040755,0.3241686154515266,0.0011287864631875,0.0059903544272823,0.0115366935900055,0.0,True,0.1527770170229662,5.0
zel039_aec7,mean448_mlp,1,0,10776,1247,2980,0.1272297890293358,0.0936353638916366,-0.0156996273809667,0.3165777986791105,-0.0004252746017235,0.0046035743871906,0.0067622183232685,0.0,True,0.1204675707060672,8.0
zel039_aec7,mean448_mlp,1,1,10776,1247,2980,0.1238033724558856,0.0981597708315793,0.0060347435917564,0.3094366835171062,-0.0004574651972971,0.0047565322955401,0.0071491318284643,0.0,True,0.1166542406274213,4.0
zel039_aec7,mean448_mlp,1,2,10776,1247,2980,0.1243244304547814,0.0941868475094649,0.0150802111507566,0.3180485586654394,0.0001442509800614,0.0046945055185647,0.0084543469973596,0.0,True,0.1158700834574218,5.0
zel039_aec7,mean448_mlp,2,0,10755,1276,2972,0.1284410038025955,0.1090352703166666,0.0111417501858828,0.3486200283419423,0.0001956885245541,0.0048301285662434,0.0076275664814829,0.0,True,0.1208134373211125,4.0
zel039_aec7,mean448_mlp,2,1,10755,1276,2972,0.131064817029295,0.1140404946484539,0.0167704260501674,0.3371828894467462,0.0004255474044335,0.0045989651771188,0.0075582470519407,0.0,True,0.1235065699773542,9.0
zel039_aec7,mean448_mlp,2,2,10755,1276,2972,0.1329365512064632,0.1195515315209745,0.0138188569056996,0.3450490838996765,-8.663380971313473e-05,0.0052819187438845,0.0083850118187228,0.0,True,0.1245515393877403,11.0
zel039_aec7,mean448_mlp,3,0,10766,1229,3008,0.1300142620206161,0.1109824736393969,0.0159697823599861,0.314319196180273,6.478696610766832e-05,0.0049330933988449,0.0077932953528943,0.0,True,0.1222209666677218,7.0
zel039_aec7,mean448_mlp,3,1,10766,1229,3008,0.1288351697638834,0.1082952346465705,-0.0001502755638401,0.3228753570942765,2.214736418125085e-05,0.0052988798335222,0.0089781674912444,0.0,True,0.119857002272639,4.0
zel039_aec7,mean448_mlp,3,2,10766,1229,3008,0.1268064031758159,0.1141677410949821,0.0105798413265371,0.299474508307571,-9.053535429064397e-06,0.0046708538257322,0.0074829305500315,0.0,True,0.1193234726257843,6.0
