context,fold,seed,n_train,n_test,bottleneck_mcpearson_mean,bottleneck_mcpearson_median,bottleneck_null_q95,direct_mcpearson_mean,direct_mcpearson_median,direct_null_q95,oracle_mcpearson_mean,oracle_mcpearson_median,diff_mean,ci95_lo,ci95_hi,frac_boot_le_0,fraction_of_oracle_filled,bottleneck_prog_pearson_mean_sanity
zel024_hek293,0,0,7065,1983,0.0192401626266394,0.0200185013365245,-0.001239911926054,0.0136660453020364,0.0101802990711329,0.0018144934304842,0.238464070819837,0.2292297763794156,0.005574117324603,0.0024508928003817,0.0087201874601644,0.0,0.080683696124502,0.0794502318099844
zel024_hek293,0,1,7065,1983,0.0192401626266394,0.0200185013365245,-0.0017584441614891,0.0136660453020364,0.0101802990711329,0.0025551345962043,0.238464070819837,0.2292297763794156,0.005574117324603,0.0027113819927247,0.0087656160589641,0.0,0.080683696124502,0.0794502318099844
zel024_hek293,0,2,7065,1983,0.0192401626266394,0.0200185013365245,-0.0017771764045311,0.0136660453020364,0.0101802990711329,0.0022947834523453,0.238464070819837,0.2292297763794156,0.005574117324603,0.0024724779357109,0.0086369615534069,0.001,0.080683696124502,0.0794502318099844
zel024_hek293,1,0,7010,2030,0.0258892228010277,0.0265358420854161,0.0031564809027502,0.0155723763372052,0.0099498511289606,0.0017727692208648,0.2468143251103766,0.2361786027401883,0.0103168464638224,0.0073630846516758,0.0130677645717116,0.0,0.104893517786903,0.1114785036679149
zel024_hek293,1,1,7010,2030,0.0258892228010277,0.0265358420854161,0.0031895697040202,0.0155723763372052,0.0099498511289606,0.0014186350898735,0.2468143251103766,0.2361786027401883,0.0103168464638224,0.0076447068628348,0.0131241758163113,0.0,0.104893517786903,0.1114785036679149
zel024_hek293,1,2,7010,2030,0.0258892228010277,0.0265358420854161,0.0033855427637635,0.0155723763372052,0.0099498511289606,0.0013039485059761,0.2468143251103766,0.2361786027401883,0.0103168464638224,0.0075703701420639,0.0130872666553987,0.0,0.104893517786903,0.1114785036679149
zel024_hek293,2,0,7083,1955,0.021163241477209,0.0164198119271366,0.0035455685601988,0.0129482794080583,0.0074370848927,0.0018826841920972,0.246136549987604,0.2374459628230344,0.0082149620691507,0.005186945876006,0.0110421848437186,0.0,0.0859817100640878,0.0917164731271699
zel024_hek293,2,1,7083,1955,0.021163241477209,0.0164198119271366,0.0035992171064409,0.0129482794080583,0.0074370848927,0.0021955420710803,0.246136549987604,0.2374459628230344,0.0082149620691507,0.0053401162202195,0.0111369468864033,0.0,0.0859817100640878,0.0917164731271699
zel024_hek293,2,2,7083,1955,0.021163241477209,0.0164198119271366,0.0037837957619342,0.0129482794080583,0.0074370848927,0.0025505700803058,0.246136549987604,0.2374459628230344,0.0082149620691507,0.0054059146372622,0.0112000974732482,0.0,0.0859817100640878,0.0917164731271699
zel024_hek293,3,0,7047,2030,0.0221995024384592,0.0189299156949229,0.0048114527218338,0.0128120337825989,0.0080021368062399,0.0027229494902397,0.2435485123682136,0.2344583965126675,0.0093874686558603,0.0063229896150522,0.0122495233638094,0.0,0.0911502280288886,0.0766864583351349
zel024_hek293,3,1,7047,2030,0.0221995024384592,0.0189299156949229,0.0047495963773027,0.0128120337825989,0.0080021368062399,0.0024889475688482,0.2435485123682136,0.2344583965126675,0.0093874686558603,0.0066093406813604,0.0122644485317906,0.0,0.0911502280288886,0.0766864583351349
