context,image_backbone,model,fold,seed,n_train_compounds,n_test_compounds,prog_pearson_mean,prog_pearson_median,pairing_null_mean,pairing_null_sd,pairing_null_z,pairing_null_tail_frac
zel024_hek293,clip,ridge,0,0,7065,1983,0.1395171248239998,0.14022277698533606,-0.001093858227917927,0.009522269308228089,14.766541304436467,0.0
zel024_hek293,clip,mlp,0,0,7065,1983,0.1372957935888754,0.13925590474349045,-0.001917565975164159,0.010006245275562466,13.912647124894123,0.0
zel024_hek293,clip,mlp,0,1,7065,1983,0.13912371393890594,0.14147340654836502,0.0003339883243176252,0.008876569653192648,15.635513609096686,0.0
zel024_hek293,clip,mlp,0,2,7065,1983,0.1348892828417203,0.1275911231724166,-0.0026392333543152685,0.008835595756808472,15.565279351996134,0.0
zel024_hek293,rn50,ridge,0,0,7065,1983,0.10700969290061757,0.09712910927438663,-1.0074509722740149e-05,0.008626487835074482,12.405948916453353,0.0
zel024_hek293,clip,ridge,1,0,7010,2030,0.1421670184117791,0.1252601772942757,0.00018860796551775958,0.009063131455620477,15.665491683695462,0.0
zel024_hek293,clip,mlp,1,0,7010,2030,0.1355242153856243,0.11277226504791538,-4.7130918406576725e-05,0.010879213393400084,12.461502629066525,0.0
zel024_hek293,clip,mlp,1,1,7010,2030,0.1399230308668007,0.12262624986425212,-0.0007746859243972222,0.009156238551551493,15.366322753502002,0.0
zel024_hek293,clip,mlp,1,2,7010,2030,0.13930732182961075,0.11944185031595836,0.00012915581604860358,0.007417573392757157,18.763301506320353,0.0
zel024_hek293,rn50,ridge,1,0,7010,2030,0.09731756155126609,0.06846945565285725,6.825332695321443e-05,0.008407485243015293,11.566991248079194,0.0
zel024_hek293,clip,ridge,2,0,7083,1955,0.13838074881213874,0.12185081252335768,3.446373925644827e-05,0.008898438121437658,15.547254831113065,0.0
zel024_hek293,clip,mlp,2,0,7083,1955,0.13144199234844645,0.1248863134844175,-0.0004180987660869292,0.009868568628156464,13.361622752292295,0.0
zel024_hek293,clip,mlp,2,1,7083,1955,0.13535371834457674,0.1168708073661072,0.0012795584724765682,0.008113979283552444,16.52384794029202,0.0
zel024_hek293,clip,mlp,2,2,7083,1955,0.13514916258490942,0.12286927132352199,-0.0021958374579876348,0.009376452596150789,14.647863745323018,0.0
zel024_hek293,rn50,ridge,2,0,7083,1955,0.09145594975881022,0.06326232153904446,-0.000489133241266042,0.007774068377397772,11.827151310811239,0.0
zel024_hek293,clip,ridge,3,0,7047,2030,0.1326086990027766,0.12433954566200289,-0.0005423830558604111,0.009326078071028393,14.27728580487364,0.0
zel024_hek293,clip,mlp,3,0,7047,2030,0.12715371315418716,0.12502318710660246,-0.001791214365869785,0.008977089851194595,14.3637782017853,0.0
zel024_hek293,clip,mlp,3,1,7047,2030,0.13443508679722171,0.14156234833131803,-0.00031091550884529054,0.008606117519856552,15.657002358516825,0.0
zel024_hek293,clip,mlp,3,2,7047,2030,0.13482569920171206,0.13552281456530202,0.0030461959657381438,0.00930121513591607,14.167987871511055,0.0
zel024_hek293,rn50,ridge,3,0,7047,2030,0.0929650650845815,0.08839297660674314,-0.00015378928274509455,0.008508719306520841,10.9439330424219,0.0
zel024_hek293,clip,ridge,4,0,7175,1832,0.12733983921316896,0.1334713233395835,-3.592681633281365e-05,0.008851178065604521,14.390826292884238,0.0
zel024_hek293,clip,mlp,4,0,7175,1832,0.12408849028928937,0.12008726028802542,0.00153767790968715,0.0082545056544799,14.846535638762477,0.0
zel024_hek293,clip,mlp,4,1,7175,1832,0.12360149296529291,0.13648129626034763,-0.0007975536410589797,0.010746605112225572,11.575659969568699,0.0
zel024_hek293,clip,mlp,4,2,7175,1832,0.12457917526463934,0.13019378376153223,-8.143011391616571e-05,0.009951682975756196,12.526585270275145,0.0
zel024_hek293,rn50,ridge,4,0,7175,1832,0.0824905083059618,0.08590536607519285,-0.0003801763097644814,0.008441606505517422,9.816932897969377,0.0
zel031_thp1,clip,ridge,0,0,5450,1497,0.02076211785690318,0.024893863461991163,-4.143767173128605e-05,0.0072635867706338135,2.864088526173023,0.0
zel031_thp1,clip,ridge,1,0,5375,1574,0.021044253607177113,0.020764133154486122,-3.5956002212451135e-05,0.0060307685785746384,3.4954432979372982,0.0
zel031_thp1,clip,ridge,2,0,5458,1481,0.02027319649138612,0.022132877443410158,0.0004843622231652228,0.006936609345298706,2.8528108306449167,0.0
zel031_thp1,clip,ridge,3,0,5496,1449,0.01510089358721826,0.018382406424023216,0.0002629172373795613,0.006342337668204723,2.3395121997720394,0.005
zel031_thp1,clip,ridge,4,0,5421,1519,0.016252782583290753,0.009203590984886227,0.00016713163755216796,0.006364251506000793,2.5275008271705754,0.015
zel031_a549,clip,ridge,0,0,4997,1399,-0.0035239476618566324,-0.009992497854572202,-0.0002927925478562401,0.007255153404653995,-0.44535999913216023,0.67
zel031_a549,clip,ridge,1,0,4929,1451,0.010969094391598141,0.011071095757408247,-0.00015454484801917946,0.006022732570550929,1.8469422491060046,0.03
zel031_a549,clip,ridge,2,0,5055,1326,0.01195960235516597,0.012770455008723505,-0.00022414206273013764,0.006222538725140561,1.958002184650267,0.04
zel031_a549,clip,ridge,3,0,5040,1349,0.010803645673613794,0.011479034280681946,-0.00019494316679765687,0.005516974798842334,1.9935905530544316,0.02
zel031_a549,clip,ridge,4,0,4987,1395,0.00926560727961321,0.009370322699409891,0.0005582856268998244,0.005393799688971594,1.6143205448501858,0.065
