context,program,image_features,chemistry_model,folds,n_test_compounds,r2_chem,r2_img,r2_joint,chem_only,img_only,shared,unexplained,img_only_fold_sd,chem_only_fold_sd,img_only_null_mean,img_only_null_sd,img_only_z,img_only_tail,chem_only_null_mean,chem_only_null_sd,chem_only_z,chem_only_tail,rel_img,img_only_rel_ceiling,r2_img_rel_ceiling,r_ceiling_img
zel024_hek293,P01,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.2553719438391699,0.0232212107759197,0.255928110661187,0.2327068998852673,0.0005561668220171,0.0226650439539026,0.744071889338813,0.0003260491321455,0.0725871988554735,0.0003583677776086,0.0005010505455335,0.3947686439455679,0.2125,0.0004542717253692,0.000646690637842,359.1402357932937,0.0,0.435,0.0012785444184302,0.0533820937377465,0.6595452979136459
zel024_hek293,P02,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.1955394436871261,0.0027396939083939,0.1960718778136094,0.1933321839052154,0.0005324341264832,0.0022072597819107,0.8039281221863906,0.0006140799812942,0.0775788058697049,0.0003846293892092,0.0005611321703074,0.2634044973629338,0.235,0.0005782731502061,0.0008058726800534,239.18655579963345,0.0,0.435,0.0012239864976626,0.0062981469158481,0.6595452979136459
zel024_hek293,P03,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.2049341333372641,0.0170696886428887,0.2055677473272496,0.1884980586843609,0.0006336139899855,0.0164360746529032,0.7944322526727503,0.0009781486155956,0.0659211612404027,0.0004136272002382,0.0006085365403581,0.3615013645980704,0.2175,0.000516121786218,0.0007264466267292,258.7690960098499,0.0,0.435,0.0014565838850241,0.0392406635468706,0.6595452979136459
zel024_hek293,P04,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.2331417228381456,0.0213403433003587,0.2340752091549324,0.2127348658545736,0.0009334863167867,0.0204068569835719,0.7659247908450676,0.0006990108528163,0.0503695678426691,0.0003744592735975,0.0005066437299968,1.103392798708262,0.11625,0.0004836225259345,0.0006745079349882,314.67568032736534,0.0,0.435,0.0021459455558316,0.0490582604605947,0.6595452979136459
zel024_hek293,P05,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.0986718704516886,0.0025538280094481,0.098808789156518,0.0962549611470698,0.0001369187048293,0.0024169093046188,0.901191210843482,0.0001245764496186,0.0251531000345027,0.0004664806537515,0.0006784364671468,-0.4857668549395398,0.56875,0.0005367402579715,0.0007305839758467,131.0160420342643,0.0,0.435,0.0003147556432858,0.0058708689872372,0.6595452979136459
zel024_hek293,P06,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.1168888378742317,0.0042694030435281,0.1179808582613591,0.113711455217831,0.0010920203871273,0.0031773826564007,0.8820191417386408,0.0010527717055478,0.0495344278043736,0.0004849206931891,0.0007123213933751,0.8522833928399306,0.135,0.0005106446623594,0.000690975208445,163.82760071842844,0.0,0.435,0.0025103916945457,0.0098147196402944,0.6595452979136459
zel024_hek293,P07,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.1946957639187019,0.008178111610333,0.1948720783137414,0.1866939667034083,0.0001763143950395,0.0080017972152935,0.8051279216862586,0.0002374544562899,0.0889243084215074,0.0004399252599059,0.0006500423191369,-0.4055287742133971,0.545,0.0004858353188263,0.0006336610607192,293.86077656912755,0.0,0.435,0.0004053204483667,0.0188002565754783,0.6595452979136459
zel024_hek293,P08,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.1756171659038246,0.0105736835543561,0.1759120407321473,0.1653383571777912,0.0002948748283227,0.0102788087260334,0.8240879592678526,0.0002639535607806,0.0285197703203938,0.0004426855817626,0.000590290240299,-0.2504035190638485,0.435,0.0005428467749165,0.0007800116683031,211.2731348767785,0.0,0.435,0.0006778731685579,0.0243073185157611,0.6595452979136459
zel024_hek293,P09,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.1164135270505448,0.0007066514446781,0.116964246727752,0.1162575952830739,0.0005507196772072,0.0001559317674709,0.8830357532722479,0.0003355123200167,0.0389873406720489,0.0004541652727511,0.0006858359655961,0.1407835244862607,0.2575,0.0005312247695455,0.0006892031209838,167.9133001434018,0.0,0.435,0.0012660222464534,0.0016244860797198,0.6595452979136459
zel024_hek293,P10,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.1182580973273602,0.0040226199741361,0.1183264828223884,0.1143038628482522,6.838549502816843e-05,0.003954234479108,0.8816735171776116,3.6801299568521264e-05,0.0139786897149447,0.0004348668175702,0.0006091153188734,-0.6016616413782917,0.69875,0.0004757386794678,0.0006474604566133,175.80706745270834,0.0,0.435,0.0001572080345475,0.0092474022393935,0.6595452979136459
zel024_hek293,P11,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.2085113245355743,0.0113703586677224,0.2089881673186868,0.1976178086509644,0.0004768427831125,0.0108935158846098,0.7910118326813131,0.0004821073322595,0.0376311732441802,0.0003828136611576,0.000524759286125,0.1791852463425324,0.2625,0.0005350877780951,0.0007402176966953,266.24967459267884,0.0,0.435,0.0010961903060058,0.0261387555579825,0.6595452979136459
zel024_hek293,P12,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.3164248774939587,0.0404454895251627,0.3172240283512946,0.2767785388261318,0.0007991508573358,0.0396463386678268,0.6827759716487054,0.0003507064478468,0.0509281573596032,0.000371162592711,0.0005309932223218,0.8060145527911065,0.13875,0.0004703866959626,0.0006476402855616,426.6383026042741,0.0,0.435,0.0018371284076686,0.0929781368394545,0.6595452979136459
zel024_hek293,P13,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.3657620781142233,0.0172366863611003,0.3668518915928467,0.3496152052317464,0.0010898134786234,0.0161468728824769,0.6331481084071533,0.0010049282437091,0.0621812294449462,0.0003150453288498,0.0004497692127364,1.7225904482430248,0.0675,0.0005379322549783,0.00069863962713,499.6528387757368,0.0,0.435,0.0025053183416631,0.0396245663473571,0.6595452979136459
zel024_hek293,P14,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.1941548627829963,0.009370169958734,0.196359733193779,0.186989563235045,0.0022048704107827,0.0071652995479512,0.803640266806221,0.0008432126060885,0.0503945214811973,0.0004100178821518,0.0005580763392339,3.216141596496474,0.01625,0.000497745458877,0.0006899596817659,270.29379064416673,0.0,0.435,0.0050686676109948,0.0215406205947908,0.6595452979136459
zel024_hek293,P15,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.4774339456597473,0.0729688251612464,0.4799208684537625,0.4069520432925161,0.0024869227940152,0.0704819023672311,0.5200791315462374,0.0002919681472108,0.102168549585824,0.0002431977326651,0.0003790700605798,5.919024725714495,0.00625,0.0005146487213007,0.0007452909505117,545.3405737613368,0.0,0.435,0.0057170638942879,0.1677444256580378,0.6595452979136459
zel024_hek293,P16,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",7847,0.4667192023861461,0.0754229192375825,0.469944502523565,0.3945215832859825,0.0032253001374188,0.0721976191001636,0.530055497476435,0.0006882808396931,0.0865753905592347,0.0002832494472813,0.0004076387612438,7.217298671894371,0.0,0.0004771097439292,0.000651774566416,604.5717244058885,0.0,0.435,0.0074144830745261,0.1733860212358218,0.6595452979136459
