context,library,marker,program,n_test,r_raw,z_raw,tail_raw,r_partial,z_partial,tail_partial,marker_rel_sb,r_ceiling,r_chem_pred,z_chem_pred,r_img_pred,z_img_pred,fw_flag
zel024_hek293,zel024,p21,P01,7814,0.0185196159659473,1.8407759936177976,0.025,0.0127510733860553,1.107129333630503,0.14,0.4277,0.6539877674696982,0.0124740253487599,1.1470411777643597,0.0475925166066262,4.330523203289671,False
zel024_hek293,zel024,p21,P02,7814,-0.013688535532189,-1.2166501132911816,0.875,-0.0168169632340572,-1.5354503358907572,0.955,0.4277,0.6539877674696982,-0.0090072781217339,-0.8363131938124887,-0.0075409958435436,-0.6449768971368259,False
zel024_hek293,zel024,p21,P03,7814,-0.0058228950648013,-0.5004739967162799,0.705,-0.0101304136710127,-1.0027149867448304,0.84,0.4277,0.6539877674696982,-0.0028946376099802,-0.2412584572086676,0.0269671548700936,2.25640395398039,False
zel024_hek293,zel024,p21,P04,7814,0.0100051659669015,0.8542977358968896,0.2,0.0084774938485667,0.7794733529909424,0.22,0.4277,0.6539877674696982,0.0115942834088253,1.0122449726256766,0.0102760270309497,0.8452456888912986,False
zel024_hek293,zel024,p21,P05,7814,0.0033546214221862,0.3041115906055798,0.39,-0.0014646737943373,-0.1017835218959427,0.515,0.4277,0.6539877674696982,0.0132656919590419,1.133180065753506,0.0365316686642877,3.017551940920656,False
zel024_hek293,zel024,p21,P06,7814,-0.0279826461227789,-2.5252228696947387,0.995,-0.0304436593014193,-2.5246408343604685,0.995,0.4277,0.6539877674696982,0.0069755602204753,0.6641241484413527,0.0066062766683212,0.5834004860155261,False
zel024_hek293,zel024,p21,P07,7814,-0.0006075167531974,-0.1176778724663857,0.535,-0.0004907305269805,0.0154120113786452,0.505,0.4277,0.6539877674696982,0.0020785257103246,0.122772933497716,-0.0336765885479762,-2.8899729573182604,False
zel024_hek293,zel024,p21,P08,7814,0.0166606615492685,1.3714853988806457,0.105,0.0091952594845021,0.7735818423612295,0.22,0.4277,0.6539877674696982,-0.0003862245564764,-0.0114899720769012,-0.0085371489424733,-0.8341268124169364,False
zel024_hek293,zel024,p21,P09,7814,-0.0073523006088219,-0.5430973961709954,0.705,-0.0124460431714908,-1.09106094052451,0.875,0.4277,0.6539877674696982,0.0168789876401383,1.5194401870873495,0.0122004777593116,1.1315470026867525,False
zel024_hek293,zel024,p21,P10,7814,-0.005414686489288,-0.5958156729558265,0.735,-0.0021004080130772,-0.2270889063822923,0.58,0.4277,0.6539877674696982,-0.0177280963025657,-1.5951493857690229,-0.0060918621467809,-0.6070492210459034,False
zel024_hek293,zel024,p21,P11,7814,-0.010925607415442,-1.0522882867015808,0.86,0.0028174460961526,0.1429626074438584,0.455,0.4277,0.6539877674696982,-0.032900404343152,-3.262998742097192,-0.0524129090415335,-4.400071104160729,False
zel024_hek293,zel024,p21,P12,7814,0.0237551730406259,2.510553412006859,0.0,-0.0052095256903183,-0.4866143254755776,0.7,0.4277,0.6539877674696982,0.0452101726929908,4.377124163811319,0.0829374981325156,7.098100731769045,False
zel024_hek293,zel024,p21,P13,7814,-0.0051312621146183,-0.457623278355402,0.655,0.011956531389214,1.220542926271149,0.125,0.4277,0.6539877674696982,-0.0358961881636375,-3.45291115177496,-0.0116065395056592,-0.9597866014066962,False
zel024_hek293,zel024,p21,P14,7814,0.0278000242983142,2.53838133444779,0.0,0.0169716251240955,1.543928340264627,0.06,0.4277,0.6539877674696982,0.0058441896885139,0.5367345787259644,0.0742285176411654,6.117221786375876,False
zel024_hek293,zel024,p21,P15,7814,0.0217353960157288,2.0048916212808034,0.015,-0.0076370427084192,-0.5391897416592194,0.715,0.4277,0.6539877674696982,0.0381478741622286,3.7206022663128873,0.0867256928662476,6.55969392491144,False
zel024_hek293,zel024,p21,P16,7814,0.0186509242456867,1.6611741857934892,0.045,-0.0090882122771024,-0.8013130022723292,0.79,0.4277,0.6539877674696982,0.0430060889866528,4.399378890414433,0.0960133057595376,8.240170439358979,False
